i,H,r,Lz,γu,γd,M,energy,error_r,error_a
6,5.0,5.0,55.0,1.0,1.0,9,-0.019768545021630612,0.010286484316787305,0.0002054623131930583
6,5.0,5.0,55.0,1.0,1.0,11,0.02140314483133649,2.07154986340779,0.04137715216616016
6,5.0,5.0,55.0,1.0,1.0,13,0.020815918179473647,2.042150322193091,0.04078992551429732
6,5.0,5.0,55.0,1.0,1.0,15,0.020814706355434014,2.0420896521422933,0.04078871369025769
7,5.0,5.0,55.0,1.0,1.0,1,0.04514723838163262,0.0011616588089539534,5.250668201566e-5
7,5.0,5.0,55.0,1.0,1.0,3,0.0451996676243998,1.7132673728563198e-6,7.74392484789721e-8
7,5.0,5.0,55.0,1.0,1.0,5,0.04519974721307257,4.7553902976762646e-8,2.1494242913311368e-9
7,5.0,5.0,55.0,1.0,1.0,7,0.045200985699479744,2.7447850197306095e-5,1.2406358314634436e-6
7,5.0,5.0,55.0,1.0,1.0,9,0.045971430731310756,0.017072788056123358,0.000771685667662475
7,5.0,5.0,55.0,1.0,1.0,11,0.03113732241308817,0.31111730012543276,0.01406242265056011
7,5.0,5.0,55.0,1.0,1.0,13,0.03551626123927306,0.2142375761354266,0.00968348382437522
7,5.0,5.0,55.0,1.0,1.0,15,0.03551810343478507,0.21419681936767454,0.00968164162886321
8,5.0,5.0,55.0,1.0,1.0,1,-0.009117037809087758,0.005021971663700037,4.555672097230658e-5
8,5.0,5.0,55.0,1.0,1.0,3,-0.009071550377191548,7.6381216499784e-6,6.928907609650425e-8
8,5.0,5.0,55.0,1.0,1.0,5,-0.009071480294038679,8.753551546578365e-8,7.940767730862941e-10
8,5.0,5.0,55.0,1.0,1.0,7,-0.00907098383613603,5.481486149747889e-5,4.972519794220476e-7
8,5.0,5.0,55.0,1.0,1.0,9,-0.008775534862228544,0.03262380453778682,0.0002959462258869082
8,5.0,5.0,55.0,1.0,1.0,11,-0.005407171433297477,0.4039373084973508,0.003664309654817975
8,5.0,5.0,55.0,1.0,1.0,13,-0.003142273667343651,0.6536096325593024,0.005929207420771801
8,5.0,5.0,55.0,1.0,1.0,15,-0.003140603372358043,0.6537937584996405,0.005930877715757409
9,5.0,5.0,55.0,1.0,1.0,1,0.13554485920117906,0.0020578530496432636,0.0002795065853496703
9,5.0,5.0,55.0,1.0,1.0,3,0.1358238519352516,3.7832039499250047e-6,5.138512771396542e-7
9,5.0,5.0,55.0,1.0,1.0,5,0.13582436746367654,1.234791563213358e-8,1.6771478095201076e-9
9,5.0,5.0,55.0,1.0,1.0,7,0.13582579108588685,1.0493694190047391e-5,1.4252993581209683e-6
9,5.0,5.0,55.0,1.0,1.0,9,0.1367088464116515,0.006511943714965641,0.0008844806251227799
9,5.0,5.0,55.0,1.0,1.0,11,0.21092686619013742,0.5529383477604095,0.07510250040360869
9,5.0,5.0,55.0,1.0,1.0,13,0.21790284588915626,0.6042986442626055,0.08207848010262753
9,5.0,5.0,55.0,1.0,1.0,15,0.21791474812081627,0.6043862738391625,0.08209038233428753
10,5.0,5.0,55.0,1.0,1.0,1,-0.004769839628890679,0.030698210116895688,0.00014206441586327688
10,5.0,5.0,55.0,1.0,1.0,3,-0.004628013365136332,5.1461468625291933e-5,2.3815210893011335e-7
10,5.0,5.0,55.0,1.0,1.0,5,-0.004627774552803966,1.426654073342734e-7,6.602234358180081e-10
10,5.0,5.0,55.0,1.0,1.0,7,-0.004627180138446125,0.00012858761583788502,5.95074581276854e-7
