i,H,M,γu,γd,energy,error_r,error_a
1,10.0,29,0.95,0.95,0.9785428208688134,2.3154256516215614e-12,2.2657431486550195e-12
1,10.0,1,1.0,1.0,1.063258853874974,0.0001491487485113589,0.00015860738349182668
1,10.0,3,1.0,1.0,1.0634174607180396,5.081977586504051e-10,5.404263703212564e-10
1,10.0,5,1.0,1.0,1.0634174612712806,1.2050430528259664e-11,1.2814638239433407e-11
1,10.0,7,1.0,1.0,1.0634174612711687,1.1945193887938018e-11,1.2702727758551191e-11
1,10.0,9,1.0,1.0,1.0634174612709586,1.174766638447715e-11,1.2492673562292111e-11
1,10.0,11,1.0,1.0,1.0634174612708778,1.1671662144244849e-11,1.24118493260994e-11
1,10.0,13,1.0,1.0,1.0634174612712415,1.20136812252902e-11,1.2775558388966601e-11
1,10.0,15,1.0,1.0,1.063417461272151,1.2868937730761361e-11,1.368505309073953e-11
1,10.0,17,1.0,1.0,1.0634174612705634,1.137599729762689e-11,1.2097434165525556e-11
1,10.0,19,1.0,1.0,1.063417461271587,1.2338578471997506e-11,1.312105979422995e-11
1,10.0,21,1.0,1.0,1.0634174612707596,1.1560579023905334e-11,1.2293721596279283e-11
1,10.0,23,1.0,1.0,1.0634174612707872,1.1586470578270182e-11,1.2321255127289987e-11
1,10.0,25,1.0,1.0,1.0634174612701481,1.0985535953576335e-11,1.1682210754315747e-11
1,10.0,27,1.0,1.0,1.0634174612707645,1.1565172686776517e-11,1.2298606577587634e-11
1,10.0,29,1.0,1.0,1.0634174612695273,1.0401723163220534e-11,1.106137403894536e-11
1,5.0,1,0.6,0.6,1.2064078577968487,0.001454241711709147,0.001756963678008372
1,5.0,3,0.6,0.6,1.2081635111060178,1.0845944327479395e-6,1.3103688392135382e-6
1,5.0,5,0.6,0.6,1.208164820587855,7.341730297199285e-10,8.870020273832324e-10
1,5.0,7,0.6,0.6,1.2081648214751457,2.389226877589135e-13,2.886579864025407e-13
1,5.0,9,0.6,0.6,1.2081648214757248,7.182383567398722e-13,8.677503160470224e-13
1,5.0,11,0.6,0.6,1.2081648214757243,7.178707833740892e-13,8.673062268371723e-13
1,5.0,13,0.6,0.6,1.2081648214757266,7.19708650203004e-13,8.695266728864226e-13
1,5.0,15,0.6,0.6,1.208164821475711,7.06843582400601e-13,8.539835505416704e-13
1,5.0,17,0.6,0.6,1.208164821475715,7.101517426926475e-13,8.57980353430321e-13
1,5.0,19,0.6,0.6,1.2081648214757092,7.053732889374692e-13,8.522071937022702e-13
1,5.0,21,0.6,0.6,1.2081648214756946,6.93243367866632e-13,8.375522497772181e-13
1,5.0,23,0.6,0.6,1.2081648214756862,6.86259473916756e-13,8.291145547900669e-13
1,5.0,25,0.6,0.6,1.2081648214753309,3.92200781290401e-13,4.738431869100168e-13
1,5.0,27,0.6,0.6,1.2081648214756804,6.814810201615778e-13,8.233413950620161e-13
1,5.0,29,0.6,0.6,1.2081648214756924,6.914055010377173e-13,8.353318037279678e-13
1,5.0,1,0.95,0.95,2.527139410626263,0.0018136173318339286,0.004591591224497815
1,5.0,3,0.95,0.95,2.5317224653018577,3.3718230320008705e-6,8.536548902871033e-6
