H,γu,γd,i,energy_exact
1.0,0.0,0.0,2,-1.3437396237357486
0.5,0.0,0.0,2,-1.911770514976543
0.1,0.0,0.0,2,-1.2724505705323699
10.0,0.3,0.3,3,116.06878160741677
10.0,0.5,0.5,3,193.91239592369783
10.0,0.6,0.6,3,232.83419880228251
10.0,0.6,-0.6,3,232.13947381135287
10.0,-0.6,-0.6,3,-234.2276253077752
10.0,0.95,0.95,3,369.06048651874056
10.0,0.95,-0.95,3,367.9606003164609
10.0,-0.95,-0.95,3,-370.45406942160025
10.0,1.0,1.0,3,388.52138193538116
10.0,1.0,-1.0,3,387.3636212444502
10.0,-1.0,-1.0,3,-389.9149929466199
5.0,0.3,0.3,3,232.76313776850589
5.0,0.5,0.5,3,388.5591619102002
5.0,0.6,0.6,3,466.457132711304
5.0,0.6,-0.6,3,464.7175614835141
5.0,-0.6,-0.6,3,-468.32112137539366
5.0,0.95,0.95,3,739.099880701889
5.0,0.95,-0.95,3,736.3467191235425
5.0,-0.95,-0.95,3,-740.9663803718239
5.0,1.0,1.0,3,778.0488321706674
5.0,1.0,-1.0,3,775.1509272235387
5.0,-1.0,-1.0,3,-779.915784248982
1.0,0.3,0.3,3,1169.1721789081319
1.0,0.5,0.5,3,1949.3873840233919
1.0,0.6,0.6,3,2339.5515982782053
1.0,0.6,-0.6,3,2328.4756336881055
1.0,-0.6,-0.6,3,-2340.7264706909696
1.0,0.95,0.95,3,3705.564760289029
1.0,0.95,-0.95,3,3687.1065974082812
1.0,-0.95,-0.95,3,-3705.4798072832273
1.0,1.0,1.0,3,3900.7866626624414
1.0,1.0,-1.0,3,3881.1903968420297
1.0,-1.0,-1.0,3,-3900.444424347609
0.5,0.3,0.3,3,2340.097284167238
0.5,0.5,0.5,3,3901.4029632250745
0.5,0.6,0.6,3,4682.312112346423
0.5,0.6,-0.6,3,4658.173099884035
0.5,-0.6,-0.6,3,-4681.598900654206
0.5,0.95,0.95,3,7418.029280393988
0.5,0.95,-0.95,3,7375.318266801448
0.5,-0.95,-0.95,3,-7411.501801149667
0.5,1.0,1.0,3,7809.432005653593
0.5,1.0,-1.0,3,7763.459802761589
0.5,-1.0,-1.0,3,-7801.487158785098
0.1,0.3,0.3,3,11708.803434302381
0.1,0.5,0.5,3,19520.985718486383
0.1,0.6,0.6,3,23429.943080279172
0.1,0.6,-0.6,3,23293.48972189686
0.1,-0.6,-0.6,3,-23407.965126104304
0.1,0.95,0.95,3,37158.46014697259
0.1,0.95,-0.95,3,36876.95578593405
0.1,-0.95,-0.95,3,-37058.37617415393
0.1,1.0,1.0,3,39144.65420405409
0.1,1.0,-1.0,3,38817.34216203661
0.1,-1.0,-1.0,3,-39008.43301515689
10.0,0.0,0.0,3,-0.6966613607070444
5.0,0.0,0.0,3,-0.9311641015936121
1.0,0.0,0.0,3,-0.9416579020125444
0.5,0.0,0.0,3,-1.0118347023517646
0.1,0.0,0.0,3,-1.308374366236459
10.0,0.3,0.3,4,0.5983172043333402
10.0,0.5,0.5,4,0.9028741100292543
10.0,0.6,0.6,4,1.0551589289085221
10.0,0.6,-0.6,4,0.5933648073848894
10.0,-0.6,-0.6,4,-0.7719808414097891
10.0,0.95,0.95,4,1.5881893933400617
10.0,0.95,-0.95,4,0.8568746642032914
10.0,-0.95,-0.95,4,-1.3047836869609126
10.0,1.0,1.0,4,1.6643408862759332
10.0,1.0,-1.0,4,0.8945147034251768
10.0,-1.0,-1.0,4,-1.3808942713356052
5.0,0.3,0.3,4,1.2730154180536135
5.0,0.5,0.5,4,2.0115748388343415
5.0,0.6,0.6,4,2.381274592769105
5.0,0.6,-0.6,4,1.195330781189817
5.0,-0.6,-0.6,4,-2.038891823053963
5.0,0.95,0.95,4,3.6776272984075167
5.0,0.95,-0.95,4,1.791149918348912
5.0,-0.95,-0.95,4,-3.322906824934523
5.0,1.0,1.0,4,3.8631453621467218
5.0,1.0,-1.0,4,1.876020147660431
5.0,-1.0,-1.0,4,-3.5062048617924537
1.0,0.3,0.3,4,6.275930491363525
1.0,0.5,0.5,4,10.896522727380125
1.0,0.6,0.6,4,13.336988286727307
1.0,0.6,-0.6,4,4.334074545865974
1.0,-0.6,-0.6,4,-12.227014185644741
1.0,0.95,0.95,4,22.987156557639526
1.0,0.95,-0.95,4,6.495476332238969
1.0,-0.95,-0.95,4,-18.981983345284966
1.0,1.0,1.0,4,24.578969819835464
1.0,1.0,-1.0,4,6.7861922208556535
1.0,-1.0,-1.0,4,-19.94426878610741
0.5,0.3,0.3,4,12.460937872308431
0.5,0.5,0.5,4,22.2125491144615
0.5,0.6,0.6,4,27.541659540153464
0.5,0.6,-0.6,4,7.6168939840747445
