i,H,M,γu,γd,energy,error_r,error_a
1,10.0,1,0.6,0.6,-0.003243722128925,0.0002969654153736749,9.629873154448632e-7
1,10.0,3,0.6,0.6,-0.003242759142833354,3.773943073172166e-10,1.22379884004431e-12
1,10.0,5,0.6,0.6,-0.003242759141609722,5.13554804477751e-14,1.6653345369377348e-16
1,10.0,7,0.6,0.6,-0.00324275914160968,3.851661033583132e-14,1.249000902703301e-16
1,10.0,9,0.6,0.6,-0.0032427591416096385,2.567774022388755e-14,8.326672684688674e-17
1,10.0,11,0.6,0.6,-0.0032427591416096663,3.42369869651834e-14,1.1102230246251565e-16
1,10.0,13,0.6,0.6,-0.0032427591416096663,3.42369869651834e-14,1.1102230246251565e-16
1,10.0,15,0.6,0.6,-0.0032427591416096663,3.42369869651834e-14,1.1102230246251565e-16
1,10.0,17,0.6,0.6,-0.0032427591416096663,3.42369869651834e-14,1.1102230246251565e-16
1,10.0,19,0.6,0.6,-0.0032427591416096663,3.42369869651834e-14,1.1102230246251565e-16
1,10.0,21,0.6,0.6,-0.0032427591416096663,3.42369869651834e-14,1.1102230246251565e-16
1,10.0,23,0.6,0.6,-0.0032427591416096108,1.71184934825917e-14,5.551115123125783e-17
1,10.0,25,0.6,0.6,-0.0032427591416096108,1.71184934825917e-14,5.551115123125783e-17
1,10.0,27,0.6,0.6,-0.0032427591416096108,1.71184934825917e-14,5.551115123125783e-17
1,10.0,29,0.6,0.6,-0.0032427591416096108,1.71184934825917e-14,5.551115123125783e-17
1,10.0,1,0.6,-0.6,-0.005672286359829082,0.0001693365391309961,9.606880207180257e-7
1,10.0,3,0.6,-0.6,-0.0056732470490704345,2.1515627543255982e-10,1.2206347044241284e-12
1,10.0,5,0.6,-0.6,-0.0056732470478497166,1.4677084594517245e-14,8.326672684688674e-17
1,10.0,7,0.6,-0.6,-0.0056732470478497166,1.4677084594517245e-14,8.326672684688674e-17
1,10.0,9,0.6,-0.6,-0.0056732470478497166,1.4677084594517245e-14,8.326672684688674e-17
1,10.0,11,0.6,-0.6,-0.0056732470478497304,1.2230903828764371e-14,6.938893903907228e-17
1,10.0,13,0.6,-0.6,-0.0056732470478497166,1.4677084594517245e-14,8.326672684688674e-17
1,10.0,15,0.6,-0.6,-0.0056732470478497166,1.4677084594517245e-14,8.326672684688674e-17
1,10.0,17,0.6,-0.6,-0.0056732470478497166,1.4677084594517245e-14,8.326672684688674e-17
1,10.0,19,0.6,-0.6,-0.005673247047849703,1.712326536027012e-14,9.71445146547012e-17
1,10.0,21,0.6,-0.6,-0.005673247047849703,1.712326536027012e-14,9.71445146547012e-17
1,10.0,23,0.6,-0.6,-0.005673247047849703,1.712326536027012e-14,9.71445146547012e-17
1,10.0,25,0.6,-0.6,-0.0056732470478497166,1.4677084594517245e-14,8.326672684688674e-17
1,10.0,27,0.6,-0.6,-0.0056732470478497166,1.4677084594517245e-14,8.326672684688674e-17
1,10.0,29,0.6,-0.6,-0.005673247047849703,1.712326536027012e-14,9.71445146547012e-17
1,10.0,1,-0.6,-0.6,-0.00621201977263211,0.00015457947012229272,9.60102312735911e-7
1,10.0,3,-0.6,-0.6,-0.006211059671539371,1.9642321776667723e-10,1.2199963261849689e-12
1,10.0,5,-0.6,-0.6,-0.006211059670319402,4.468734336632402e-15,2.7755575615628914e-17
1,10.0,7,-0.6,-0.6,-0.006211059670319388,2.234367168316201e-15,1.3877787807814457e-17
1,10.0,9,-0.6,-0.6,-0.006211059670319388,2.234367168316201e-15,1.3877787807814457e-17
1,10.0,11,-0.6,-0.6,-0.006211059670319388,2.234367168316201e-15,1.3877787807814457e-17
1,10.0,13,-0.6,-0.6,-0.006211059670319388,2.234367168316201e-15,1.3877787807814457e-17
1,10.0,15,-0.6,-0.6,-0.006211059670319402,4.468734336632402e-15,2.7755575615628914e-17
1,10.0,17,-0.6,-0.6,-0.006211059670319402,4.468734336632402e-15,2.7755575615628914e-17
1,10.0,19,-0.6,-0.6,-0.006211059670319402,4.468734336632402e-15,2.7755575615628914e-17
1,10.0,21,-0.6,-0.6,-0.006211059670319402,4.468734336632402e-15,2.7755575615628914e-17
1,10.0,23,-0.6,-0.6,-0.006211059670319402,4.468734336632402e-15,2.7755575615628914e-17
1,10.0,25,-0.6,-0.6,-0.006211059670319402,4.468734336632402e-15,2.7755575615628914e-17
1,10.0,27,-0.6,-0.6,-0.006211059670319402,4.468734336632402e-15,2.7755575615628914e-17
1,10.0,29,-0.6,-0.6,-0.006211059670319402,4.468734336632402e-15,2.7755575615628914e-17
1,10.0,1,0.95,0.95,-0.002377968649510495,0.0010171402117190279,2.4162698503971125e-6
1,10.0,3,0.95,0.95,-0.002375552387389304,3.253645859449568e-9,7.729206163986646e-12
1,10.0,5,0.95,0.95,-0.002375552379692822,1.3775248203749868e-11,3.272382365082649e-14
1,10.0,7,0.95,0.95,-0.0023755523796928635,1.379277396482334e-11,3.276545701424993e-14
1,10.0,9,0.95,0.95,-0.0023755523796933353,1.3991399256989369e-11,3.3237301799715624e-14
1,10.0,11,0.95,0.95,-0.002375552379692003,1.343057490263823e-11,3.1905034170165436e-14
1,10.0,13,0.95,0.95,-0.0023755523796932243,1.3944663894126775e-11,3.312627949725311e-14
1,10.0,15,0.95,0.95,-0.0023755523796930023,1.3851193168401584e-11,3.290423489232808e-14
1,10.0,17,0.95,0.95,-0.0023755523796936406,1.4119921504861506e-11,3.354261313148754e-14
1,10.0,19,0.95,0.95,-0.00237555237969278,1.3757722442676395e-11,3.2682190287403046e-14
1,10.0,21,0.95,0.95,-0.0023755523796925027,1.3640884035519907e-11,3.2404634531246757e-14
1,10.0,23,0.95,0.95,-0.0023755523796914757,1.3208581929040903e-11,3.1377678233468487e-14
1,10.0,25,0.95,0.95,-0.002375552379690088,1.2624389893258467e-11,2.998989945268704e-14
1,10.0,27,0.95,0.95,-0.002375552379689838,1.2519235326817627e-11,2.974009927214638e-14
1,10.0,29,0.95,0.95,-0.0023755523796918365,1.3360471858344337e-11,3.173850071647166e-14
1,10.0,1,0.95,-0.95,-0.006223195348441665,0.0003866513329431281,2.4071374995632278e-6
1,10.0,3,0.95,-0.95,-0.006225602493608817,1.2316219680641418e-9,7.66758878611995e-12
1,10.0,5,0.95,-0.95,-0.006225602485940979,4.0124659597968813e-14,2.498001805406602e-16
1,10.0,7,0.95,-0.95,-0.006225602485940868,5.795784164151051e-14,3.608224830031759e-16
1,10.0,9,0.95,-0.95,-0.006225602485940965,4.235380735341153e-14,2.636779683484747e-16
1,10.0,11,0.95,-0.95,-0.00622560248594084,6.241613715239593e-14,3.885780586188048e-16
1,10.0,13,0.95,-0.95,-0.006225602485941201,4.458295510885424e-15,2.7755575615628914e-17
1,10.0,15,0.95,-0.95,-0.006225602485940951,4.458295510885424e-14,2.7755575615628914e-16
1,10.0,17,0.95,-0.95,-0.006225602485941478,4.0124659597968813e-14,2.498001805406602e-16
1,10.0,19,0.95,-0.95,-0.006225602485940757,7.579102368505221e-14,4.718447854656915e-16
1,10.0,21,0.95,-0.95,-0.006225602485941367,2.229147755442712e-14,1.3877787807814457e-16
1,10.0,23,0.95,-0.95,-0.006225602485940673,8.916591021770847e-14,5.551115123125783e-16
1,10.0,25,0.95,-0.95,-0.0062256024859414505,3.566636408708339e-14,2.220446049250313e-16
1,10.0,27,0.95,-0.95,-0.006225602485941173,8.916591021770847e-15,5.551115123125783e-17
1,10.0,29,0.95,-0.95,-0.006225602485941173,8.916591021770847e-15,5.551115123125783e-17
1,10.0,1,-0.95,-0.95,-0.00707777325204674,0.00033988594313898916,2.4048182731689627e-6
1,10.0,3,-0.95,-0.95,-0.007075368441434748,1.0827955208074916e-9,7.66117724815274e-12
1,10.0,5,-0.95,-0.95,-0.0070753684337740985,7.453406018825365e-14,5.273559366969494e-16
1,10.0,7,-0.95,-0.95,-0.007075368433774043,6.66883696421217e-14,4.718447854656915e-16
1,10.0,9,-0.95,-0.95,-0.007075368433774043,6.66883696421217e-14,4.718447854656915e-16
1,10.0,11,-0.95,-0.95,-0.0070753684337739875,5.884267909598973e-14,4.163336342344337e-16
1,10.0,13,-0.95,-0.95,-0.007075368433774043,6.66883696421217e-14,4.718447854656915e-16
1,10.0,15,-0.95,-0.95,-0.0070753684337739875,5.884267909598973e-14,4.163336342344337e-16
1,10.0,17,-0.95,-0.95,-0.00707536843377396,5.491983382292375e-14,3.885780586188048e-16
1,10.0,19,-0.95,-0.95,-0.0070753684337738765,4.31512980037258e-14,3.0531133177191805e-16
1,10.0,21,-0.95,-0.95,-0.0070753684337738765,4.31512980037258e-14,3.0531133177191805e-16
1,10.0,23,-0.95,-0.95,-0.007075368433773793,3.138276218452785e-14,2.220446049250313e-16
1,10.0,25,-0.95,-0.95,-0.007075368433773738,2.3537071638395893e-14,1.6653345369377348e-16
1,10.0,27,-0.95,-0.95,-0.0070753684337737655,2.7459916911461874e-14,1.942890293094024e-16
1,10.0,29,-0.95,-0.95,-0.007075368433773599,3.9228452730659816e-15,2.7755575615628914e-17
1,10.0,1,1.0,1.0,-0.0022542895810228197,0.0011892111848706632,2.6776421017532526e-6
1,10.0,3,1.0,1.0,-0.002251611948361515,4.1927510952514894e-9,9.440448422992631e-12
1,10.0,5,1.0,1.0,-0.0022516119389110745,4.4377128442543285e-12,9.992007221626409e-15
1,10.0,7,1.0,1.0,-0.0022516119389106304,4.634944526221187e-12,1.0436096431476471e-14
1,10.0,9,1.0,1.0,-0.002251611938910131,4.856830168433904e-12,1.0935696792557792e-14
1,10.0,11,1.0,1.0,-0.0022516119389101863,4.832176208188046e-12,1.0880185641326534e-14
1,10.0,13,1.0,1.0,-0.002251611938908632,5.522487095072053e-12,1.2434497875801753e-14
1,10.0,15,1.0,1.0,-0.002251611938907744,5.916950459005771e-12,1.3322676295501878e-14
1,10.0,17,1.0,1.0,-0.002251611938911685,4.166519281549897e-12,9.381384558082573e-15
1,10.0,19,1.0,1.0,-0.0022516119389070777,6.21279798195606e-12,1.3988810110276972e-14
1,10.0,21,1.0,1.0,-0.0022516119389058564,6.755185107364922e-12,1.5210055437364645e-14
1,10.0,23,1.0,1.0,-0.0022516119389063005,6.557953425398063e-12,1.4765966227514582e-14
1,10.0,25,1.0,1.0,-0.0022516119389172917,1.6764692967183017e-12,3.774758283725532e-15
1,10.0,27,1.0,1.0,-0.0022516119389068556,6.311413822939489e-12,1.4210854715202004e-14
1,10.0,29,1.0,1.0,-0.0022516119389120737,3.993941559828896e-12,8.992806499463768e-15
1,10.0,1,1.0,-1.0,-0.006301896632529128,0.00042302526203427275,2.666989678296039e-6
1,10.0,3,1.0,-1.0,-0.006304563631623808,1.4935822529834209e-9,9.416384338933881e-12
1,10.0,5,1.0,-1.0,-0.006304563622210532,4.930752793104517e-13,3.1086244689504383e-15
1,10.0,7,1.0,-1.0,-0.006304563622210338,4.622580743535484e-13,2.914335439641036e-15
1,10.0,9,1.0,-1.0,-0.006304563622210865,5.459047735222858e-13,3.4416913763379853e-15
1,10.0,11,1.0,-1.0,-0.006304563622210421,4.754654479065069e-13,2.9976021664879227e-15
1,10.0,13,1.0,-1.0,-0.006304563622210699,5.194900264163687e-13,3.2751579226442118e-15
1,10.0,15,1.0,-1.0,-0.006304563622210976,5.635146049262304e-13,3.552713678800501e-15
1,10.0,17,1.0,-1.0,-0.006304563622211198,5.987342677341199e-13,3.774758283725532e-15
1,10.0,19,1.0,-1.0,-0.006304563622210976,5.635146049262304e-13,3.552713678800501e-15
1,10.0,21,1.0,-1.0,-0.006304563622210921,5.547096892242582e-13,3.497202527569243e-15
1,10.0,23,1.0,-1.0,-0.006304563622211087,5.811244363301752e-13,3.6637359812630166e-15
1,10.0,25,1.0,-1.0,-0.006304563622210366,4.666605322045346e-13,2.942091015256665e-15
1,10.0,27,1.0,-1.0,-0.006304563622210754,5.282949421183411e-13,3.3306690738754696e-15
1,10.0,29,1.0,-1.0,-0.006304563622210255,4.490507008005899e-13,2.831068712794149e-15
1,10.0,1,-1.0,-1.0,-0.00720145232053436,0.00037010196331477426,2.664285585221582e-6
1,10.0,3,-1.0,-1.0,-0.0071987880443498825,1.3058787154775413e-9,9.400744072074474e-12
1,10.0,5,-1.0,-1.0,-0.007198788034945863,4.549596274739255e-13,3.2751579226442118e-15
1,10.0,7,-1.0,-1.0,-0.007198788034945808,4.626708076006021e-13,3.3306690738754696e-15
1,10.0,9,-1.0,-1.0,-0.007198788034945863,4.549596274739255e-13,3.2751579226442118e-15
1,10.0,11,-1.0,-1.0,-0.007198788034945808,4.626708076006021e-13,3.3306690738754696e-15
1,10.0,13,-1.0,-1.0,-0.007198788034945919,4.4724844734724874e-13,3.219646771412954e-15
1,10.0,15,-1.0,-1.0,-0.007198788034945697,4.780931678539555e-13,3.4416913763379853e-15
1,10.0,17,-1.0,-1.0,-0.007198788034945752,4.703819877272789e-13,3.3861802251067274e-15
1,10.0,19,-1.0,-1.0,-0.00719878803494603,4.318260870938953e-13,3.1086244689504383e-15
1,10.0,21,-1.0,-1.0,-0.007198788034946141,4.1640372684054194e-13,2.9976021664879227e-15
1,10.0,23,-1.0,-1.0,-0.007198788034946807,3.238695653204215e-13,2.3314683517128287e-15
1,10.0,25,-1.0,-1.0,-0.007198788034946696,3.392919255737749e-13,2.4424906541753444e-15
1,10.0,27,-1.0,-1.0,-0.007198788034946696,3.392919255737749e-13,2.4424906541753444e-15
1,10.0,29,-1.0,-1.0,-0.007198788034946363,3.8555900633383515e-13,2.7755575615628914e-15
1,10.0,1,0.3,0.3,-0.00398579653985183,6.035953039631028e-5,2.405662869325864e-7
1,10.0,3,0.3,0.3,-0.003985555973641308,1.9172005154773972e-11,7.64110996698264e-14
