i,H,rr,energy,error_r,error_a
2,5.0,3.0,-0.3561003211410281,3.0816969877985565e-10,1.0973932873525882e-10
2,5.0,4.0,-0.3561003212514419,1.894174080612572e-12,6.745159986110139e-13
2,5.0,5.0,-0.35610032125190266,3.1880301310680364e-12,1.1352585538304538e-12
2,5.0,6.0,-0.3561003212521037,3.752650205134264e-12,1.3363199435900697e-12
2,5.0,7.0,-0.35610032125221863,4.075334786392434e-12,1.4512280266387734e-12
2,5.0,8.0,-0.35610032125240376,4.5952155006417085e-12,1.6363577159950182e-12
2,5.0,9.0,-0.3561003212524213,4.644475562321699e-12,1.6538992397840957e-12
2,5.0,10.0,-0.3561003212526604,5.3158777321182875e-12,1.892985768137123e-12
2,1.0,0.0,4.825160484291537,4.590844832629884,6.168900108027286
2,1.0,1.0,-1.3400165548862244,0.0027706772828307844,0.003723068849524225
2,1.0,2.0,-1.3437327166948876,5.140163123146476e-6,6.907040861037217e-6
2,1.0,3.0,-1.343739610843016,9.594665835193511e-9,1.289273265925317e-8
2,1.0,4.0,-1.3437396237124688,1.7324652859037162e-11,2.3279822514155057e-11
2,1.0,5.0,-1.343739623736718,7.214543115187113e-13,9.694467451026867e-13
2,1.0,6.0,-1.343739623736881,8.427432406654667e-13,1.1324274851176597e-12
2,1.0,7.0,-1.3437396237369532,8.964474667863053e-13,1.2045919817182948e-12
2,1.0,8.0,-1.3437396237372647,1.1282844798556484e-12,1.5161205624281138e-12
2,1.0,9.0,-1.343739623737472,1.282456919765625e-12,1.723288178823168e-12
2,1.0,10.0,-1.3437396237375319,1.3270727383890908e-12,1.7832402221529264e-12
2,0.5,0.0,13.578542410983088,8.102600602222227,15.490312925959632
2,0.5,1.0,-1.90656467197196,0.002723048066596428,0.005205843004582933
2,0.5,2.0,-1.911760875383579,5.042233305899006e-6,9.639592963850419e-6
2,0.5,3.0,-1.911770496984846,9.41101292239735e-9,1.7991697021102482e-8
2,0.5,4.0,-1.9117705149437514,1.7152449521762274e-11,3.2791547255328624e-11
2,0.5,5.0,-1.9117705149774553,4.772441433160969e-13,9.123812816369536e-13
2,0.5,6.0,-1.9117705149777136,6.12322006221091e-13,1.170619157164765e-12
2,0.5,7.0,-1.9117705149778408,6.788736961992179e-13,1.297850715786808e-12
2,0.5,8.0,-1.9117705149780784,8.031499759140448e-13,1.5354384430565915e-12
2,0.5,9.0,-1.9117705149781747,8.535573641348251e-13,1.631805801594055e-12
2,0.5,10.0,-1.9117705149784525,9.988560799509452e-13,1.9095836023552692e-12
2,0.1,0.0,88.04483410979431,70.19312714281544,89.31728468032668
2,0.1,1.0000000000000002,-1.2659795529743914,0.005085476566112242,0.00647101755797852
2,0.1,2.0,-1.2724385982110322,9.408869479810848e-6,1.1972321337649916e-5
2,0.1,3.0,-1.272450548187096,1.7560818762591127e-8,2.2345273853474623e-8
2,0.1,4.0,-1.2724505704913591,3.222973944997757e-11,4.101075035123358e-11
2,0.1,5.0,-1.2724505705332818,7.166778918929368e-13,9.119371924271036e-13
2,0.1,6.0,-1.2724505705335525,9.293952890727494e-13,1.1826095658307167e-12
2,0.1,7.000000000000002,-1.2724505705336402,9.983234038274876e-13,1.2703171847761041e-12
2,0.1,8.000000000000002,-1.2724505705337907,1.1166354590267599e-12,1.4208634269152753e-12
2,0.1,9.000000000000002,-1.2724505705339433,1.2365180282331022e-12,1.5734080704987718e-12
2,0.1,10.000000000000002,-1.2724505705345603,1.7214578533050456e-12,2.190470027585434e-12
3,10.0,0.0,-0.6482633928797934,0.06947129632413047,0.04839796782725103
3,10.0,2.0,-0.6966616561814198,4.241291279761128e-7,2.954743754113309e-7
3,10.0,2.0,-0.6966616561815135,4.241292624787974e-7,2.954744691141542e-7
3,10.0,4.0,-0.6966613607090473,2.8749152018293213e-12,2.0028423364237824e-12
3,10.0,4.0,-0.6966613607090615,2.8953137132391968e-12,2.0170531911389844e-12
3,10.0,6.0,-0.6966613607084483,2.015149818577149e-12,1.4038770146385104e-12
3,10.0,6.0,-0.6966613607084221,1.9775400631651915e-12,1.3776757512573568e-12
3,10.0,8.0,-0.6966613607086728,2.3373825535050253e-12,1.628364110217717e-12
3,10.0,8.0,-0.6966613607087341,2.4253511339601135e-12,1.6896484211770257e-12
3,10.0,10.0,-0.6966613607090333,2.8548354171602255e-12,1.9888535263135054e-12
3,10.0,10.0,-0.6966613607090177,2.832524545305674e-12,1.9733104039687532e-12
3,5.0,0.0,-0.9059228454788423,0.02710720491862973,0.025241256114769794
3,5.0,1.0,-0.931346639017499,0.0001960314230054248,0.0001825374238869637
3,5.0,2.0,-0.9311645009114267,4.288372091544734e-7,3.9931781459223714e-7
3,5.0,3.0,-0.9311641023481053,8.102688284127197e-10,7.544932456582387e-10
3,5.0,4.0,-0.9311641015958527,2.4062913341094184e-12,2.240652108298491e-12
3,5.0,5.0,-0.9311641015945705,1.0293089429871474e-12,9.584555371588976e-13
3,5.0,6.0,-0.9311641015947911,1.2662181135785366e-12,1.1790568521519162e-12
3,5.0,7.0,-0.93116410159495,1.4368356390522546e-12,1.3379297669757761e-12
3,5.0,8.0,-0.9311641015951706,1.6737448096436438e-12,1.5585310819687948e-12
3,5.0,9.0,-0.9311641015952526,1.7618554674529224e-12,1.6405765634885938e-12
3,5.0,10.0,-0.9311641015954502,1.9739648859139597e-12,1.838085239569409e-12
3,1.0,0.0,3.489324373083612,4.705511699764962,4.430982275096156
3,1.0,1.0,-0.9409595288150241,0.0007416421569104025,0.0006983731975203078
3,1.0,2.0,-0.9416569697278501,9.900460584891777e-7,9.322846943327079e-7
3,1.0,3.0,-0.9416579003234494,1.7937458724545898e-9,1.68909497499925e-9
3,1.0,4.0,-0.9416579020101231,2.5713004576610544e-12,2.421285394405004e-12
3,1.0,5.0,-0.9416579020133654,8.718770637995093e-13,8.210099267103033e-13
3,1.0,6.0,-0.9416579020136899,1.216501358253325e-12,1.1455281168082365e-12
3,1.0,7.0,-0.9416579020136558,1.1803057857602282e-12,1.1114442699522442e-12
3,1.0,8.0,-0.9416579020138565,1.3933526896528196e-12,1.31206157050201e-12
3,1.0,9.0,-0.9416579020142356,1.7959842208056694e-12,1.691202733411501e-12
3,1.0,10.0,-0.9416579020143969,1.96729421048798e-12,1.8525181388895362e-12
3,0.5,0.0,10.58347740834452,11.459690089444244,11.595312110696284
3,0.5,1.0,-1.0107638240845958,0.0010583529747298628,0.0010708782671688954
3,0.5,2.0,-1.0118332520880164,1.4333010568160077e-6,1.450263748203895e-6
3,0.5,3.0,-1.0118346997197822,2.6011980056405813e-9,2.6319824097953415e-9
3,0.5,4.0,-1.011834702347561,4.1545802399048955e-12,4.203748460440693e-12
3,0.5,5.0,-1.0118347023525476,7.73771916644024e-13,7.829292769656604e-13
3,0.5,6.0,-1.0118347023529344,1.1560494772775717e-12,1.169730978745065e-12
3,0.5,7.0,-1.011834702353061,1.2811345573930265e-12,1.2962964035523328e-12
3,0.5,8.0,-1.0118347023532626,1.4803928955418563e-12,1.4979129048242612e-12
3,0.5,9.0,-1.0118347023533931,1.6094280308188517e-12,1.6284751325201796e-12
3,0.5,10.0,-1.0118347023535463,1.7608468120112444e-12,1.7816859099184512e-12
