i,H,rr,energy,error_r,error_a
1,0.5,6.0,-0.018385369731967693,1.499842797625232e-12,2.7575164374127326e-14
1,0.5,7.0,-0.018385369731976048,1.954249120811135e-12,3.592959263443163e-14
1,0.5,8.0,-0.018385369731983618,2.3660076744621486e-12,4.3499925883594415e-14
1,0.5,9.0,-0.01838536973198568,2.478099599699867e-12,4.556077737305486e-14
1,0.5,10.0,-0.0183853697319892,2.669637148717181e-12,4.908226602928778e-14
1,0.1,0.0,2.7836895759702482,152.06801333897272,2.802116306516602
1,0.1,1.0000000000000002,-0.018210111203641924,0.011755712288029707,0.00021661934271198502
1,0.1,2.0,-0.018426328250956116,2.1832163702674606e-5,4.022953977930732e-7
1,0.1,3.0,-0.018426729795294784,4.0759217850708826e-8,7.510591246151499e-10
1,0.1,4.0,-0.018426730544972566,7.496408292348409e-11,1.3813429566855717e-12
1,0.1,5.0,-0.018426730546377768,1.2948247454188803e-12,2.3859386688585005e-14
1,0.1,6.0,-0.01842673054638323,1.5911827720713912e-12,2.9320296190959994e-14
1,0.1,7.000000000000002,-0.01842673054638845,1.8745492460942812e-12,3.454181385365018e-14
1,0.1,8.000000000000002,-0.01842673054639399,2.1752377902899993e-12,4.0082520635920105e-14
1,0.1,9.000000000000002,-0.018426730546402013,2.6105489450680202e-12,4.810388198883686e-14
1,0.1,10.000000000000002,-0.01842673054640478,2.7607990754801573e-12,5.0872500656495845e-14
2,10.0,0.0,-0.019310498240756514,0.00907845470207005,0.00017691560384874155
2,10.0,2.0,-0.01948741326256124,2.986768905260027e-8,5.820440171500074e-10
2,10.0,2.0,-0.019487413262561336,2.986768406761276e-8,5.820439200054928e-10
2,10.0,4.0,-0.01948741384462762,1.147615339348073e-12,2.2364055052292997e-14
2,10.0,4.0,-0.019487413844627606,1.1469031982749436e-12,2.2350177264485183e-14
2,10.0,6.0,-0.01948741384463892,1.7274762081437097e-12,3.366404377480592e-14
2,10.0,6.0,-0.01948741384463892,1.7274762081437097e-12,3.366404377480592e-14
2,10.0,8.0,-0.019487413844650022,2.297189066647252e-12,4.4766274021057484e-14
2,10.0,8.0,-0.019487413844650036,2.2979012077203812e-12,4.47801518088653e-14
2,10.0,10.0,-0.01948741384465862,2.7383604614509326e-12,5.336356356799854e-14
2,10.0,10.0,-0.019487413844658633,2.739072602524062e-12,5.3377441355806354e-14
2,5.0,0.0,-0.01593683807432195,0.2247915419936828,0.004621294270245529
2,5.0,1.0,-0.02055123990722515,0.0003352657345913178,6.892437342326946e-6
