i,H,r,Lz,γu,γd,M,energy,error_r,error_a
9,5.0,5.0,55.0,1.0,1.0,11,-1.052576666525652,0.029921837613305642,0.032466484982867305
10,5.0,5.0,55.0,1.0,1.0,11,0.4640211692350486,1.3116225850184817,1.9530697541042377
1,5.0,5.0,55.0,1.0,1.0,13,0.42491542195891785,1.3040318430621811,1.8225171260409918
2,5.0,5.0,55.0,1.0,1.0,13,0.48929314950977804,1.3455984903768914,1.9050781229226563
3,5.0,5.0,55.0,1.0,1.0,13,0.5659311813327497,1.6178016109224418,1.481971494804506
4,5.0,5.0,55.0,1.0,1.0,13,-0.7829695326645599,0.6306286415416138,1.3367658359151084
5,5.0,5.0,55.0,1.0,1.0,13,0.4612129788393636,1.3057372487945003,1.969740254000937
6,5.0,5.0,55.0,1.0,1.0,13,0.3469905503930558,1.2829972643140457,1.5731174220931163
7,5.0,5.0,55.0,1.0,1.0,13,-0.28966546803462756,0.8032339106593502,1.182465573473986
8,5.0,5.0,55.0,1.0,1.0,13,-1.2897910974000437,0.17151118945101146,0.26700856117999017
9,5.0,5.0,55.0,1.0,1.0,13,-1.086557787008252,0.0013959219019325226,0.0015146354997326306
10,5.0,5.0,55.0,1.0,1.0,13,0.43066116500606777,1.2892190150020528,1.9197097498752567
1,5.0,5.0,55.0,1.0,1.0,15,0.42517912244837824,1.3042205237776454,1.8227808265304521
2,5.0,5.0,55.0,1.0,1.0,15,0.4893714192079436,1.3456537739825487,1.905156392620822
3,5.0,5.0,55.0,1.0,1.0,15,0.5659598371155085,1.6178328931513322,1.4820001505872646
4,5.0,5.0,55.0,1.0,1.0,15,-0.7828779271890806,0.630671857065984,1.3368574413905878
5,5.0,5.0,55.0,1.0,1.0,15,0.46148453720546745,1.3059172643438213,1.970011812367041
6,5.0,5.0,55.0,1.0,1.0,15,0.3470664596339656,1.2830591740908084,1.573193331334026
7,5.0,5.0,55.0,1.0,1.0,15,-0.28967353950285024,0.803228427813058,1.1824575020057633
8,5.0,5.0,55.0,1.0,1.0,15,-1.2899171810182355,0.17143020046986873,0.2668824775617984
9,5.0,5.0,55.0,1.0,1.0,15,-1.0866639718178555,0.0014937841938201153,0.0016208203093361906
10,5.0,5.0,55.0,1.0,1.0,15,0.43057969006754016,1.289164298897182,1.9196282749367293
1,5.0,1.0,15.0,1.0,1.0,7,6.302930066098183,5.509818532482303,7.700531770180257
2,5.0,1.0,15.0,1.0,1.0,7,6.3256101035395265,5.467917248966888,7.741395076952404
3,5.0,1.0,15.0,1.0,1.0,7,7.272773442970794,8.939359584958956,8.188813756442551
4,5.0,1.0,15.0,1.0,1.0,7,3.7034348646485027,2.7471213244557005,5.823170233228171
5,5.0,1.0,15.0,1.0,1.0,7,6.135092947864913,5.066942009522369,7.6436202230264865
6,5.0,1.0,15.0,1.0,1.0,7,6.48165645442247,6.286285297242908,7.707783326122531
7,5.0,1.0,15.0,1.0,1.0,7,5.378003329749079,4.65320965193275,6.850134371257693
8,5.0,1.0,15.0,1.0,1.0,7,4.258315501121603,3.7353008960739613,5.815115159701637
9,5.0,1.0,15.0,1.0,1.0,7,5.338345208848568,5.919938162299579,6.423388360357087
10,5.0,1.0,15.0,1.0,1.0,7,5.993297120482533,5.024917105716223,7.482345705351722
1,5.0,2.0,25.0,1.0,1.0,7,0.42528566857356614,1.3042967587485077,1.82288737265564
2,5.0,2.0,25.0,1.0,1.0,7,0.4895191736404698,1.3457581361811175,1.905304147053348
3,5.0,2.0,25.0,1.0,1.0,7,0.566115041078352,1.618002322335355,1.4821553545501083
4,5.0,2.0,25.0,1.0,1.0,7,-0.7828047564335985,0.6307063758821376,1.33693061214607
5,5.0,2.0,25.0,1.0,1.0,7,0.4615920980559423,1.3059885662368966,1.9701193732175157
6,5.0,2.0,25.0,1.0,1.0,7,0.34738125897073757,1.2833159169646804,1.573508130670798
7,5.0,2.0,25.0,1.0,1.0,7,-0.28950344985577753,0.8033439675593691,1.182627591652836
8,5.0,2.0,25.0,1.0,1.0,7,-1.2894936894967293,0.17170222745752395,0.2673059690833046
9,5.0,2.0,25.0,1.0,1.0,7,-1.086331892704368,0.0011877326667210748,0.0012887411958486528
10,5.0,2.0,25.0,1.0,1.0,7,0.43083106499680324,1.2893331146979674,1.9198796498659922
1,5.0,3.0,35.0,1.0,1.0,7,0.24264342403538808,1.17361414437796,1.640245128117462
2,5.0,3.0,35.0,1.0,1.0,7,0.3648323040044809,1.2576890635623992,1.7806172774173592
3,5.0,3.0,35.0,1.0,1.0,7,0.4994050423493293,1.545178017828281,1.4154453558210855
4,5.0,3.0,35.0,1.0,1.0,7,-0.8396840932970965,0.6038731505151382,1.2800512752825721
5,5.0,3.0,35.0,1.0,1.0,7,0.3169375986123559,1.2100973604063008,1.8254648737739294
6,5.0,3.0,35.0,1.0,1.0,7,0.3364771682525092,1.274422799156154,1.5626040399525696
7,5.0,3.0,35.0,1.0,1.0,7,-0.238182818333765,0.8382054235540882,1.2339482231748484
8,5.0,3.0,35.0,1.0,1.0,7,-1.22080359684102,0.21582485574635715,0.33599606173901386
9,5.0,3.0,35.0,1.0,1.0,7,-1.052576665757712,0.029921838321056236,0.03246648575080724
10,5.0,3.0,35.0,1.0,1.0,7,0.4640211698183558,1.311622585410213,1.9530697546875448
1,5.0,4.0,45.0,1.0,1.0,7,-1.388418187985745,0.006570910774869553,0.009183516096328947
2,5.0,4.0,45.0,1.0,1.0,7,-1.409983806576201,0.004097491459238382,0.005801166836677307
3,5.0,4.0,45.0,1.0,1.0,7,-0.910562243835568,0.005980162178044957,0.005478069636188243
4,5.0,4.0,45.0,1.0,1.0,7,-2.1156082081480587,0.0019470168270934573,0.0041271604316097665
5,5.0,4.0,45.0,1.0,1.0,7,-1.4992400044478575,0.006156514944498571,0.009287270713715934
6,5.0,4.0,45.0,1.0,1.0,7,-1.2163312105434907,0.007989108943504146,0.009795661156569713
7,5.0,4.0,45.0,1.0,1.0,7,-1.4676480158454632,0.0030452626408557773,0.004483025663150286
8,5.0,4.0,45.0,1.0,1.0,7,-1.5495941106676072,0.0046284362106032905,0.007205547912426669
9,5.0,4.0,45.0,1.0,1.0,7,-1.0791001518799572,0.005477201178865169,0.00594299962856204
10,5.0,4.0,45.0,1.0,1.0,7,-1.48469063597987,0.002926666687441836,0.004357948889319063
1,5.0,5.0,55.0,1.0,1.0,7,-1.3975859756094888,1.1253901980142157e-5,1.5728472585019304e-5
2,5.0,5.0,55.0,1.0,1.0,7,-1.4157754384846035,6.734729110542665e-6,9.534928274712584e-6
3,5.0,5.0,55.0,1.0,1.0,7,-0.9160329678138762,8.018924246069405e-6,7.3456578800756844e-6
4,5.0,5.0,55.0,1.0,1.0,7,-2.1197283858772202,3.2941387645636678e-6,6.9827024482549405e-6
5,5.0,5.0,55.0,1.0,1.0,7,-1.508511122410463,1.0707629471739614e-5,1.615275111044312e-5
