i,H,r,Lz,γu,γd,M,energy,error_r,error_a
1,5.0,5.0,55.0,1.0,1.0,1,2.7158153467441895,0.0018807803397308418,0.005117476960552203
1,5.0,5.0,55.0,1.0,1.0,3,2.7209222897798537,3.871438793399016e-6,1.0533924887923263e-5
1,5.0,5.0,55.0,1.0,1.0,5,2.7209328488482423,9.240764930261482e-9,2.5143500614888126e-8
1,5.0,5.0,55.0,1.0,1.0,7,2.7209572458520865,8.975652442470074e-6,2.442214734488246e-5
1,5.0,5.0,55.0,1.0,1.0,9,2.736534255229614,0.005733853988952962,0.015601431524872478
1,5.0,5.0,55.0,1.0,1.0,11,3.405419156511126,0.25156311351869687,0.6844863328063844
1,5.0,5.0,55.0,1.0,1.0,13,3.508518897136542,0.28945443510047647,0.7875860734318003
1,5.0,5.0,55.0,1.0,1.0,15,3.508756970317882,0.2895419319983293,0.7878241466131404
2,5.0,5.0,55.0,1.0,1.0,1,1.9545422148270661,0.0009145250465613915,0.0017891139995847016
2,5.0,5.0,55.0,1.0,1.0,3,1.9563276879371958,1.861080176648961e-6,3.6408894550366e-6
2,5.0,5.0,55.0,1.0,1.0,5,1.956331420885688,4.7056976343227446e-8,9.205903706011043e-8
2,5.0,5.0,55.0,1.0,1.0,7,1.9563844189373258,2.7137586508336724e-5,5.309011067500258e-5
2,5.0,5.0,55.0,1.0,1.0,9,1.985943564433415,0.015136615751343412,0.02961223560676407
2,5.0,5.0,55.0,1.0,1.0,11,3.0464938844797453,0.5572484269865174,1.0901625556530945
2,5.0,5.0,55.0,1.0,1.0,13,3.043012682100554,0.555468972592522,1.086681353273903
2,5.0,5.0,55.0,1.0,1.0,15,3.04309580925782,0.5555114639415287,1.0867644804311691
3,5.0,5.0,55.0,1.0,1.0,1,778.050472960024,2.10885138400024e-6,0.0016407893565428822
3,5.0,5.0,55.0,1.0,1.0,3,778.0488399803828,1.0037564561111103e-8,7.809715384610172e-6
3,5.0,5.0,55.0,1.0,1.0,5,778.0488322350236,8.271484191862246e-11,6.435618615796557e-8
3,5.0,5.0,55.0,1.0,1.0,7,778.0488590537127,3.4551874083077584e-8,2.6883045279646467e-5
3,5.0,5.0,55.0,1.0,1.0,9,778.0680444070296,2.469284133302609e-5,0.019212236362136537
3,5.0,5.0,55.0,1.0,1.0,11,779.0122782696437,0.0012382848725425125,0.9634460989763056
3,5.0,5.0,55.0,1.0,1.0,13,779.0593822567927,0.0012988260432265286,1.0105500861252494
3,5.0,5.0,55.0,1.0,1.0,15,779.0592269687928,0.0012986264567822862,1.0103947981253896
4,5.0,5.0,55.0,1.0,1.0,1,3.849901176158319,0.003428342644876043,0.013244185988402712
4,5.0,5.0,55.0,1.0,1.0,3,3.8631207042110254,6.3828650969246745e-6,2.465793569639274e-5
4,5.0,5.0,55.0,1.0,1.0,5,3.8631454673255465,2.722621462588497e-8,1.0517882476079876e-7
4,5.0,5.0,55.0,1.0,1.0,7,3.863226608643314,2.1031177700002078e-5,8.124649659224659e-5
4,5.0,5.0,55.0,1.0,1.0,9,3.9092636906049574,0.011938025659124558,0.0461183284582356
4,5.0,5.0,55.0,1.0,1.0,11,5.229952400627346,0.35380678445946434,1.3668070384806246
4,5.0,5.0,55.0,1.0,1.0,13,5.480369042028812,0.4186287411622044,1.6172236798820903
4,5.0,5.0,55.0,1.0,1.0,15,5.48093920845415,0.4187763324050618,1.6177938463074284
5,5.0,5.0,55.0,1.0,1.0,1,1.3687363163968764,0.0026123811457061724,0.0035850264017773803
5,5.0,5.0,55.0,1.0,1.0,3,1.3723156156238223,4.173348218729722e-6,5.727174831493542e-6
5,5.0,5.0,55.0,1.0,1.0,5,1.3723213666501346,1.7380390471655096e-8,2.385148079042665e-8
5,5.0,5.0,55.0,1.0,1.0,7,1.3723400754104866,1.3650310061217466e-5,1.8732611832827928e-5
5,5.0,5.0,55.0,1.0,1.0,9,1.3848841217674348,0.009154400341221102,0.012562778968780997
5,5.0,5.0,55.0,1.0,1.0,11,3.477258131304037,1.5338512364842074,2.104936788505383
5,5.0,5.0,55.0,1.0,1.0,13,3.620962629501635,1.6385675982545003,2.248641286702981
5,5.0,5.0,55.0,1.0,1.0,15,3.621099053750448,1.638667009554579,2.2487777109517944
6,5.0,5.0,55.0,1.0,1.0,1,3.4745053578926566,0.0009665177078768903,0.0033614198263021144
6,5.0,5.0,55.0,1.0,1.0,3,3.477863873460866,8.35068816117493e-7,2.904258092684131e-6
6,5.0,5.0,55.0,1.0,1.0,5,3.477866833478272,1.6032619053704645e-8,5.575931316670335e-8
6,5.0,5.0,55.0,1.0,1.0,7,3.4778999535997057,9.539146513480442e-6,3.3175880747027264e-5
6,5.0,5.0,55.0,1.0,1.0,9,3.500852480118735,0.006609138264592209,0.022985702399776375
6,5.0,5.0,55.0,1.0,1.0,11,4.516450279024961,0.2986265914380947,1.0385835013060025
6,5.0,5.0,55.0,1.0,1.0,13,4.826870147561683,0.3878824164528523,1.3490033698427246
6,5.0,5.0,55.0,1.0,1.0,15,4.826953404296083,0.3879063554763173,1.3490866265771246
7,5.0,5.0,55.0,1.0,1.0,1,1.9884734663634158,0.005308459377955915,0.010499991840180911
7,5.0,5.0,55.0,1.0,1.0,3,1.977992147965401,9.440693925689325e-6,1.8673442166106113e-5
7,5.0,5.0,55.0,1.0,1.0,5,1.9779735563224479,4.1355060627603406e-8,8.179921295869974e-8
7,5.0,5.0,55.0,1.0,1.0,7,1.977999046448246,1.2928345774320121e-5,2.557192501106975e-5
7,5.0,5.0,55.0,1.0,1.0,9,1.9946632383055098,0.008437809706370198,0.016689763782274936
7,5.0,5.0,55.0,1.0,1.0,11,1.446526689507167,0.2686824630669865,0.531446785016068
7,5.0,5.0,55.0,1.0,1.0,13,1.1632141581473499,0.4119161995194462,0.8147593163758851
7,5.0,5.0,55.0,1.0,1.0,15,1.162778079920226,0.41213666669594806,0.8151953946030088
8,5.0,5.0,55.0,1.0,1.0,1,-0.5607003481145334,0.004807604877755894,0.002682728231224729
8,5.0,5.0,55.0,1.0,1.0,3,-0.5580232127643371,1.0022767792861392e-5,5.592881028415597e-6
8,5.0,5.0,55.0,1.0,1.0,5,-0.5580175920981881,4.979255053541802e-8,2.778512053769333e-8
8,5.0,5.0,55.0,1.0,1.0,7,-0.557996942988432,3.705419710750067e-5,2.0676894876614504e-5
8,5.0,5.0,55.0,1.0,1.0,9,-0.5456968714739293,0.02207949708103454,0.012320748409379356
8,5.0,5.0,55.0,1.0,1.0,11,1.0517784580589646,2.884848113360489,1.6097960779422733
8,5.0,5.0,55.0,1.0,1.0,13,1.1558779623521493,3.071400474045719,1.713895582235458
8,5.0,5.0,55.0,1.0,1.0,15,1.156003460580169,3.0716253741627546,1.7140210804634777
9,5.0,5.0,55.0,1.0,1.0,1,2.357850355393755,0.005386354246541886,0.01276899560820377
9,5.0,5.0,55.0,1.0,1.0,3,2.3705947350391092,1.0383768629498789e-5,2.4615962849416917e-5
9,5.0,5.0,55.0,1.0,1.0,5,2.3706193578763948,2.8998481466663144e-9,6.874436131454331e-9
9,5.0,5.0,55.0,1.0,1.0,7,2.370647881290752,1.2034951448945033e-5,2.8530288793238157e-5
9,5.0,5.0,55.0,1.0,1.0,9,2.3876136505686585,0.007168717136944438,0.016994299566699844
9,5.0,5.0,55.0,1.0,1.0,11,3.518446397801126,0.48418867681731786,1.1478270467991671
9,5.0,5.0,55.0,1.0,1.0,13,3.922547974549093,0.6546511243533051,1.5519286235471346
9,5.0,5.0,55.0,1.0,1.0,15,3.923111149303352,0.6548886887493017,1.5524917983013933
10,5.0,5.0,55.0,1.0,1.0,1,3.20461508421959,0.004323495044993316,0.013795492693430944
10,5.0,5.0,55.0,1.0,1.0,3,3.1908442690066554,7.733900268736358e-6,2.46774804963934e-5
10,5.0,5.0,55.0,1.0,1.0,5,3.1908197300330197,4.340792598091624e-8,1.385068606474249e-7
10,5.0,5.0,55.0,1.0,1.0,7,3.190869352628706,1.5595084936516844e-5,4.976110254695243e-5
10,5.0,5.0,55.0,1.0,1.0,9,3.219202707585686,0.008895243132800119,0.028383116059527147
10,5.0,5.0,55.0,1.0,1.0,11,3.1805138506601636,0.00322980995019723,0.01030574086599545
10,5.0,5.0,55.0,1.0,1.0,13,2.901496747390791,0.09067352002718083,0.28932284413536813
10,5.0,5.0,55.0,1.0,1.0,15,2.9009207200836924,0.0908540464689227,0.2898988714424666
1,5.0,5.0,55.0,1.0,1.0,1,2.7158153467441593,0.0018807803397419404,0.005117476960582401
2,5.0,5.0,55.0,1.0,1.0,1,1.9545422148271043,0.0009145250465418693,0.00178911399954651
3,5.0,5.0,55.0,1.0,1.0,1,778.0504729600239,2.108851383854122e-6,0.0016407893564291953
4,5.0,5.0,55.0,1.0,1.0,1,3.849901176158404,0.003428342644854087,0.013244185988317891
5,5.0,5.0,55.0,1.0,1.0,1,1.368736316396876,0.002612381145706496,0.0035850264017778244
6,5.0,5.0,55.0,1.0,1.0,1,3.4745053578926446,0.000966517707880338,0.003361419826314105
7,5.0,5.0,55.0,1.0,1.0,1,1.9884734663634158,0.005308459377955915,0.010499991840180911
8,5.0,5.0,55.0,1.0,1.0,1,-0.5607003481145139,0.004807604877720878,0.0026827282312051892
9,5.0,5.0,55.0,1.0,1.0,1,2.35785035539378,0.005386354246531208,0.012768995608178457
10,5.0,5.0,55.0,1.0,1.0,1,3.204615084219619,0.004323495045002362,0.01379549269345981
1,5.0,5.0,55.0,1.0,1.0,3,2.7209222897798,3.871438813147683e-6,1.0533924941658057e-5
2,5.0,5.0,55.0,1.0,1.0,3,1.9563276879371683,1.8610801907230243e-6,3.640889482570131e-6
3,5.0,5.0,55.0,1.0,1.0,3,778.0488399803826,1.0037564268875364e-8,7.809715157236496e-6
4,5.0,5.0,55.0,1.0,1.0,3,3.863120704211135,6.382865068530704e-6,2.4657935586702706e-5
5,5.0,5.0,55.0,1.0,1.0,3,1.3723156156238965,4.173348164687789e-6,5.727174757330644e-6
6,5.0,5.0,55.0,1.0,1.0,3,3.477863873460958,8.350687896856391e-7,2.9042580007576646e-6
7,5.0,5.0,55.0,1.0,1.0,3,1.977992147965418,9.440693934220981e-6,1.8673442182981503e-5
8,5.0,5.0,55.0,1.0,1.0,3,-0.5580232127643531,1.0022767821511406e-5,5.592881044402809e-6
9,5.0,5.0,55.0,1.0,1.0,3,2.3705947350391057,1.0383768630997432e-5,2.461596285296963e-5
10,5.0,5.0,55.0,1.0,1.0,3,3.1908442690065324,7.733900230184286e-6,2.467748037338069e-5
1,5.0,5.0,55.0,1.0,1.0,5,2.7209328488482756,9.240777171170353e-9,2.5143533921578864e-8
2,5.0,5.0,55.0,1.0,1.0,5,1.9563314208857119,4.70569886012826e-8,9.205906104092776e-8
3,5.0,5.0,55.0,1.0,1.0,5,778.048832235023,8.271411132927497e-11,6.435561772377696e-8
4,5.0,5.0,55.0,1.0,1.0,5,3.8631454673254693,2.7226194623654852e-8,1.0517874748927625e-7
5,5.0,5.0,55.0,1.0,1.0,5,1.372321366650123,1.7380382057940978e-8,2.3851469244107193e-8
6,5.0,5.0,55.0,1.0,1.0,5,3.477866833478244,1.603261100922738e-8,5.575928518908313e-8
7,5.0,5.0,55.0,1.0,1.0,5,1.9779735563224696,4.1355071628949765e-8,8.179923471907102e-8
8,5.0,5.0,55.0,1.0,1.0,5,-0.5580175920981784,4.9792568043758744e-8,2.7785130307655947e-8
9,5.0,5.0,55.0,1.0,1.0,5,2.370619357876399,2.899850019970899e-9,6.87444057234643e-9
10,5.0,5.0,55.0,1.0,1.0,5,3.190819730032978,4.3407912898263167e-8,1.3850681890303917e-7
1,5.0,5.0,55.0,1.0,1.0,7,2.7209572458521074,8.975652450141043e-6,2.4422147365754654e-5
2,5.0,5.0,55.0,1.0,1.0,7,1.9563844189373218,2.7137586506293715e-5,5.3090110671005775e-5
3,5.0,5.0,55.0,1.0,1.0,7,778.0488590537115,3.455187247578102e-8,2.6883044029091252e-5
4,5.0,5.0,55.0,1.0,1.0,7,3.863226608643359,2.103117771161257e-5,8.12464966370996e-5
5,5.0,5.0,55.0,1.0,1.0,7,1.3723400754104755,1.3650310053127356e-5,1.8732611821725698e-5
6,5.0,5.0,55.0,1.0,1.0,7,3.4778999535997506,9.539146526377143e-6,3.3175880791880275e-5
7,5.0,5.0,55.0,1.0,1.0,7,1.9779990464482353,1.2928345768931706e-5,2.557192500041161e-5
8,5.0,5.0,55.0,1.0,1.0,7,-0.5579969429884165,3.705419713535485e-5,2.0676894892157627e-5
9,5.0,5.0,55.0,1.0,1.0,7,2.370647881290766,1.2034951454939607e-5,2.853028880744901e-5
10,5.0,5.0,55.0,1.0,1.0,7,3.1908693526287606,1.5595084953635634e-5,4.97611026015754e-5
1,5.0,5.0,55.0,1.0,1.0,9,2.736534255229612,0.0057338539889521456,0.015601431524870257
2,5.0,5.0,55.0,1.0,1.0,9,1.9859435644335512,0.015136615751413101,0.029612235606900406
3,5.0,5.0,55.0,1.0,1.0,9,778.0680444070285,2.469284133171103e-5,0.019212236361113355
4,5.0,5.0,55.0,1.0,1.0,9,3.9092636906049028,0.01193802565911042,0.04611832845818098
5,5.0,5.0,55.0,1.0,1.0,9,1.3848841217674424,0.009154400341226603,0.012562778968788546
6,5.0,5.0,55.0,1.0,1.0,9,3.500852480118686,0.006609138264578163,0.022985702399727526
7,5.0,5.0,55.0,1.0,1.0,9,1.99466323830548,0.008437809706355154,0.01668976378224518
8,5.0,5.0,55.0,1.0,1.0,9,-0.5456968714739062,0.022079497081075924,0.012320748409402449
9,5.0,5.0,55.0,1.0,1.0,9,2.387613650568663,0.007168717136946312,0.016994299566704285
10,5.0,5.0,55.0,1.0,1.0,9,3.2192027075856697,0.00889524313279497,0.028383116059510716
1,5.0,5.0,55.0,1.0,1.0,11,3.4054191565110763,0.2515631135186786,0.6844863328063346
2,5.0,5.0,55.0,1.0,1.0,11,3.0464938844797516,0.5572484269865206,1.0901625556531007
3,5.0,5.0,55.0,1.0,1.0,11,779.0122782696418,0.0012382848725400286,0.9634460989743729
4,5.0,5.0,55.0,1.0,1.0,11,5.229952400627351,0.3538067844594655,1.366807038480629
5,5.0,5.0,55.0,1.0,1.0,11,3.4772581313040374,1.5338512364842078,2.1049367885053836
6,5.0,5.0,55.0,1.0,1.0,11,4.516450279024952,0.29862659143809217,1.0385835013059936
7,5.0,5.0,55.0,1.0,1.0,11,1.446526689507151,0.26868246306699456,0.531446785016084
8,5.0,5.0,55.0,1.0,1.0,11,1.0517784580589717,2.8848481133605013,1.6097960779422804
9,5.0,5.0,55.0,1.0,1.0,11,3.5184463978011093,0.4841886768173109,1.1478270467991507
10,5.0,5.0,55.0,1.0,1.0,11,3.180513850660177,0.0032298099501930546,0.010305740865982127
1,5.0,5.0,55.0,1.0,1.0,13,3.508518897136558,0.28945443510048235,0.7875860734318163
2,5.0,5.0,55.0,1.0,1.0,13,3.043012682100585,0.5554689725925379,1.0866813532739341
3,5.0,5.0,55.0,1.0,1.0,13,779.0593822567927,0.0012988260432265286,1.0105500861252494
4,5.0,5.0,55.0,1.0,1.0,13,5.480369042028944,0.41862874116223864,1.6172236798822226
5,5.0,5.0,55.0,1.0,1.0,13,3.620962629501696,1.638567598254545,2.2486412867030423
6,5.0,5.0,55.0,1.0,1.0,13,4.826870147561714,0.38788241645286126,1.3490033698427557
7,5.0,5.0,55.0,1.0,1.0,13,1.1632141581473654,0.41191619951943836,0.8147593163758695
8,5.0,5.0,55.0,1.0,1.0,13,1.1558779623521618,3.071400474045741,1.7138955822354704
9,5.0,5.0,55.0,1.0,1.0,13,3.922547974549124,0.654651124353318,1.5519286235471652
10,5.0,5.0,55.0,1.0,1.0,13,2.9014967473907833,0.0906735200271832,0.2893228441353757
1,5.0,5.0,55.0,1.0,1.0,15,3.508756970317916,0.28954193199834166,0.7878241466131741
2,5.0,5.0,55.0,1.0,1.0,15,3.043095809257826,0.555511463941532,1.0867644804311754
3,5.0,5.0,55.0,1.0,1.0,15,779.0592269687937,0.0012986264567834552,1.010394798126299
4,5.0,5.0,55.0,1.0,1.0,15,5.480939208454098,0.41877633240504825,1.617793846307376
5,5.0,5.0,55.0,1.0,1.0,15,3.6210990537504224,1.6386670095545603,2.2487777109517686
6,5.0,5.0,55.0,1.0,1.0,15,4.826953404296037,0.38790635547630403,1.3490866265770785
7,5.0,5.0,55.0,1.0,1.0,15,1.1627780799202292,0.4121366666959465,0.8151953946030057
8,5.0,5.0,55.0,1.0,1.0,15,1.1560034605801344,3.0716253741626924,1.714021080463443
9,5.0,5.0,55.0,1.0,1.0,15,3.9231111493033843,0.6548886887493154,1.5524917983014257
10,5.0,5.0,55.0,1.0,1.0,15,2.900920720083695,0.09085404646892187,0.28989887144246396
1,5.0,1.0,15.0,1.0,1.0,7,11.459718858876913,3.211687535627469,8.738786035172172
2,5.0,1.0,15.0,1.0,1.0,7,12.724237685663965,5.504132249058029,10.767906356837315
3,5.0,1.0,15.0,1.0,1.0,7,787.7880679911675,0.012517512292035357,9.739235820500085
4,5.0,1.0,15.0,1.0,1.0,7,17.564118197152837,3.546584855246706,13.700972835006116
5,5.0,1.0,15.0,1.0,1.0,7,10.985940978436552,7.005370634280374,9.6136196356379
6,5.0,1.0,15.0,1.0,1.0,7,16.982452250233468,3.883008273644056,13.50458547251451
7,5.0,1.0,15.0,1.0,1.0,7,9.201641104212502,3.6520548544921407,7.223667629689267
8,5.0,1.0,15.0,1.0,1.0,7,8.412011730593568,16.07481382461125,8.970029350476876
9,5.0,1.0,15.0,1.0,1.0,7,12.505194780057996,4.275074960799839,10.134575429056039
10,5.0,1.0,15.0,1.0,1.0,7,12.092082515695733,2.7896478220857754,8.901262924169574
1,5.0,2.0,25.0,1.0,1.0,7,3.509104751620777,0.28966974893664726,0.7881719279160353
2,5.0,2.0,25.0,1.0,1.0,7,3.0442506937546683,0.556101795691489,1.0879193649280174
3,5.0,2.0,25.0,1.0,1.0,7,779.0600444396938,0.0012996771246416583,1.0112122690263732
4,5.0,2.0,25.0,1.0,1.0,7,5.482268833550908,0.41912051440499015,1.619123471404186
5,5.0,2.0,25.0,1.0,1.0,7,3.62141635503874,1.6388982245611494,2.2490950122400863
6,5.0,2.0,25.0,1.0,1.0,7,4.827680708806531,0.3881154792170848,1.349813931087572
7,5.0,2.0,25.0,1.0,1.0,7,1.1638305610926392,0.411604565944361,0.8141429134305957
8,5.0,2.0,25.0,1.0,1.0,7,1.1563666223159759,3.072276181095845,1.7143842421992845
9,5.0,2.0,25.0,1.0,1.0,7,3.9232196478014463,0.6549344567457742,1.5526002967994876
10,5.0,2.0,25.0,1.0,1.0,7,2.902661679062761,0.09030843148533294,0.28815791246339817
1,5.0,3.0,35.0,1.0,1.0,7,3.405419158419032,0.25156311421989236,0.6844863347142902
2,5.0,3.0,35.0,1.0,1.0,7,3.0464938887391964,0.557248429163782,1.0901625599125455
3,5.0,3.0,35.0,1.0,1.0,7,779.0122782717897,0.0012382848753006335,0.9634461011222584
4,5.0,3.0,35.0,1.0,1.0,7,5.229952407073639,0.35380678612812855,1.366807044926917
5,5.0,3.0,35.0,1.0,1.0,7,3.4772581327707304,1.5338512375529758,2.1049367899720766
6,5.0,3.0,35.0,1.0,1.0,7,4.516450281639294,0.2986265921898006,1.0385835039203353
7,5.0,3.0,35.0,1.0,1.0,7,1.4465266916054076,0.26868246200618323,0.5314467829178273
8,5.0,3.0,35.0,1.0,1.0,7,1.0517784596946638,2.8848481162917565,1.6097960795779724
9,5.0,3.0,35.0,1.0,1.0,7,3.5184464000033575,0.48418867774628677,1.1478270490013989
10,5.0,3.0,35.0,1.0,1.0,7,3.1805138547443157,0.003229808670227614,0.010305736781843322
1,5.0,4.0,45.0,1.0,1.0,7,2.736534255192818,0.005733853975429532,0.015601431488076134
2,5.0,4.0,45.0,1.0,1.0,7,1.9859435644213466,0.015136615745174544,0.029612235594695724
3,5.0,4.0,45.0,1.0,1.0,7,778.0680444036984,2.4692837051626397e-5,0.019212233030998505
4,5.0,4.0,45.0,1.0,1.0,7,3.909263690519112,0.011938025636902886,0.04611832837239005
5,5.0,4.0,45.0,1.0,1.0,7,1.3848841217477281,0.009154400326860995,0.012562778949074316
6,5.0,4.0,45.0,1.0,1.0,7,3.500852480109499,0.0066091382619365095,0.022985702390540208
7,5.0,4.0,45.0,1.0,1.0,7,1.9946632383705198,0.008437809739237169,0.016689763847284933
8,5.0,4.0,45.0,1.0,1.0,7,-0.545696871493665,0.022079497045667095,0.012320748389643699
9,5.0,4.0,45.0,1.0,1.0,7,2.387613650482784,0.007168717100719973,0.016994299480825426
10,5.0,4.0,45.0,1.0,1.0,7,3.2192027076714242,0.008895243159670357,0.02838311614526523
1,5.0,5.0,55.0,1.0,1.0,7,2.7209572458520945,8.975652445407893e-6,2.4422147352876067e-5
2,5.0,5.0,55.0,1.0,1.0,7,1.956384418937376,2.713758653398784e-5,5.309011072518466e-5
3,5.0,5.0,55.0,1.0,1.0,7,778.0488590537116,3.455187262189889e-8,2.688304414277809e-5
4,5.0,5.0,55.0,1.0,1.0,7,3.8632266086434113,2.10311777251773e-5,8.124649668950212e-5
5,5.0,5.0,55.0,1.0,1.0,7,1.37234007541048,1.3650310056363401e-5,1.873261182616659e-5
6,5.0,5.0,55.0,1.0,1.0,7,3.477899953599718,9.539146517055766e-6,3.317588075946176e-5
7,5.0,5.0,55.0,1.0,1.0,7,1.977999046448238,1.292834577027881e-5,2.5571925003076146e-5
8,5.0,5.0,55.0,1.0,1.0,7,-0.5579969429884098,3.7054197147292355e-5,2.0676894898818965e-5
9,5.0,5.0,55.0,1.0,1.0,7,2.3706478812907674,1.20349514555016e-5,2.853028880878128e-5
10,5.0,5.0,55.0,1.0,1.0,7,3.1908693526287157,1.559508493957874e-5,4.976110255672239e-5
1,5.0,6.0,65.0,1.0,1.0,7,2.720932868629528,1.651080326794665e-8,4.492478655748755e-8
2,5.0,6.0,65.0,1.0,1.0,7,1.9563314276977994,5.053906112157972e-8,9.887114860163138e-8
3,5.0,6.0,65.0,1.0,1.0,7,778.0488322197666,6.310553159634997e-11,4.909918516204925e-8
4,5.0,6.0,65.0,1.0,1.0,7,3.8631455132705033,3.911936189863445e-8,1.5112378148884886e-7
5,5.0,6.0,65.0,1.0,1.0,7,1.3723213772136027,2.507790837129042e-8,3.441494889067087e-8
6,5.0,6.0,65.0,1.0,1.0,7,3.4778668384412392,1.7459633855478714e-8,6.07222805371066e-8
7,5.0,6.0,65.0,1.0,1.0,7,1.977973521648202,2.3824873107104953e-8,4.7124967039735566e-8
8,5.0,6.0,65.0,1.0,1.0,7,-0.558017581565907,6.86670103786912e-8,3.8317401696019715e-8
9,5.0,6.0,65.0,1.0,1.0,7,2.370619403917134,2.232124500721196e-8,5.2915175352552524e-8
10,5.0,6.0,65.0,1.0,1.0,7,3.190819684206872,2.9046052345978585e-8,9.268071288204283e-8
1,5.0,7.0,75.0,1.0,1.0,7,2.720932823674704,1.1039504468232285e-11,3.0037750065048385e-11
2,5.0,7.0,75.0,1.0,1.0,7,1.9563313289989184,8.805642021521908e-11,1.722675335713575e-10
3,5.0,7.0,75.0,1.0,1.0,7,778.048832170758,1.164559419893233e-13,9.060840966412798e-11
4,5.0,7.0,75.0,1.0,1.0,7,3.863145362362152,5.576552783760935e-11,2.1543034023352448e-10
5,5.0,7.0,75.0,1.0,1.0,7,1.3723213428459324,3.445157047739223e-11,4.7278625459057366e-11
6,5.0,7.0,75.0,1.0,1.0,7,3.477866777774061,1.584366181649027e-11,5.510214506898592e-11
7,5.0,7.0,75.0,1.0,1.0,7,1.9779734746589979,6.86373999354043e-11,1.357629564324725e-10
8,5.0,7.0,75.0,1.0,1.0,7,-0.5580176198294021,9.660366263172819e-11,5.390654589376709e-11
9,5.0,7.0,75.0,1.0,1.0,7,2.3706193510392586,1.5734259866714317e-11,3.729994091372646e-11
10,5.0,7.0,75.0,1.0,1.0,7,3.1908195918211177,9.243979976029154e-11,2.949587241118934e-10
1,5.0,8.0,85.0,1.0,1.0,7,2.720932823590773,4.188594197437562e-11,1.1396883436987082e-10
2,5.0,8.0,85.0,1.0,1.0,7,1.9563313288145705,6.1749952847668975e-12,1.2080336730946328e-11
3,5.0,8.0,85.0,1.0,1.0,7,778.0488321706649,3.214593128939915e-15,2.5011104298755527e-12
4,5.0,8.0,85.0,1.0,1.0,7,3.863145362080245,1.7207895579661805e-11,6.647660200087557e-11
5,5.0,8.0,85.0,1.0,1.0,7,1.3723213427817156,1.2342756808659013e-11,1.6938228597496163e-11
6,5.0,8.0,85.0,1.0,1.0,7,3.4778667776605925,1.6782184163956025e-11,5.836620076138388e-11
7,5.0,8.0,85.0,1.0,1.0,7,1.9779734745712607,2.428030819078911e-11,4.8025805554630097e-11
8,5.0,8.0,85.0,1.0,1.0,7,-0.5580176199008976,3.152038517333399e-11,1.7588930312228968e-11
9,5.0,8.0,85.0,1.0,1.0,7,2.3706193509405318,2.5911736344220773e-11,6.142686359567051e-11
10,5.0,8.0,85.0,1.0,1.0,7,3.1908195916486233,3.8380189616338743e-11,1.2246426095430252e-10
1,5.0,9.0,95.0,1.0,1.0,7,2.720932823590767,4.188806373191324e-11,1.1397460752959887e-10
2,5.0,9.0,95.0,1.0,1.0,7,1.9563313288142803,6.3233404522550024e-12,1.2370549029583344e-11
3,5.0,9.0,95.0,1.0,1.0,7,778.0488321706666,1.022825086480882e-15,7.958078640513122e-13
4,5.0,9.0,95.0,1.0,1.0,7,3.86314536208,1.7271350930381772e-11,6.672173924471281e-11
5,5.0,9.0,95.0,1.0,1.0,7,1.3723213427818455,1.2248102524833448e-11,1.680833250361502e-11
6,5.0,9.0,95.0,1.0,1.0,7,3.4778667776605094,1.68060622155174e-11,5.844924544362584e-11
