i,H,M,γu,γd,energy,error_r,error_a
4,5.0,9,0.6,0.6,-2.1893547153238035,2.129822395059411e-14,4.6629367034256575e-14
4,5.0,11,0.6,0.6,-2.189354715323803,2.1501064178695007e-14,4.707345624410664e-14
4,5.0,13,0.6,0.6,-2.1893547153237964,2.454366760020845e-14,5.3734794391857577e-14
4,5.0,15,0.6,0.6,-2.18935471532379,2.7586271021721896e-14,6.039613253960852e-14
4,5.0,1,1.0,1.0,-2.122045210144649,0.0010896839290502666,0.002309841564980708
4,5.0,3,1.0,1.0,-2.119739228094063,1.8207529352524563e-6,3.859514394299879e-6
4,5.0,5,1.0,1.0,-2.1197353757144346,3.365875862150852e-9,7.134766111249746e-9
4,5.0,7,1.0,1.0,-2.1197353685902707,5.00165537317255e-12,1.0602185795960395e-11
4,5.0,9,1.0,1.0,-2.1197353685768765,1.3171402919969768e-12,2.7919888623273437e-12
4,5.0,11,1.0,1.0,-2.11973536857665,1.4239864108006126e-12,3.0184743593508756e-12
4,5.0,13,1.0,1.0,-2.1197353685756464,1.8974613686363318e-12,4.022115973612017e-12
4,5.0,15,1.0,1.0,-2.1197353685763103,1.5842555890060661e-12,3.3582026048861735e-12
5,5.0,1,0.3,0.3,-1.7541077073364013,0.0003130602134764843,0.0005489694728191274
5,5.0,3,0.3,0.3,-1.7535588287526718,5.183122049199715e-8,9.088908958787556e-8
5,5.0,5,0.3,0.3,-1.7535587378788327,8.696867248394052e-12,1.5250467555461e-11
5,5.0,7,0.3,0.3,-1.7535587378635813,5.06500524061271e-16,8.881784197001252e-16
5,5.0,9,0.3,0.3,-1.7535587378635804,1.013001048122542e-15,1.7763568394002505e-15
5,5.0,11,0.3,0.3,-1.7535587378635813,5.06500524061271e-16,8.881784197001252e-16
5,5.0,13,0.3,0.3,-1.75355873786358,1.2662513101531774e-15,2.220446049250313e-15
5,5.0,15,0.3,0.3,-1.7535587378635809,7.597507860919064e-16,1.3322676295501878e-15
5,5.0,1,0.6,0.6,-1.6515878998559796,0.0013560940873104709,0.0022366754433242875
5,5.0,3,0.6,0.6,-1.649352705574643,8.980270337834567e-7,1.4811619877264093e-6
5,5.0,5,0.6,0.6,-1.6493512254071163,6.029406855899022e-10,9.944609580259112e-10
5,5.0,7,0.6,0.6,-1.6493512244133672,4.3160910353897103e-13,7.118750033896504e-13
5,5.0,9,0.6,0.6,-1.6493512244126833,1.6962803195854755e-14,2.7977620220553945e-14
5,5.0,11,0.6,0.6,-1.6493512244126785,1.400104390768964e-14,2.3092638912203256e-14
5,5.0,13,0.6,0.6,-1.6493512244126727,1.050078293076723e-14,1.7319479184152442e-14
5,5.0,15,0.6,0.6,-1.6493512244126673,7.269772798223466e-15,1.199040866595169e-14
5,5.0,1,1.0,1.0,-1.5148948232154194,0.004221036078491763,0.006367548053845873
5,5.0,3,1.0,1.0,-1.5085389874471415,7.76405290173609e-6,1.171228556806625e-5
5,5.0,5,1.0,1.0,-1.5085272969967911,1.447452624391779e-8,2.1835217633991988e-8
5,5.0,7,1.0,1.0,-1.50852727519535,2.2390405317105298e-11,3.377653712277606e-11
5,5.0,9,1.0,1.0,-1.5085272751545444,4.659540552724798e-12,7.029044013506791e-12
5,5.0,11,1.0,1.0,-1.508527275154535,4.665722657324698e-12,7.038369886913642e-12
5,5.0,13,1.0,1.0,-1.50852727515433,4.801728958522503e-12,7.243539101864371e-12
5,5.0,15,1.0,1.0,-1.508527275154453,4.720184054990485e-12,7.120526390735904e-12
6,5.0,1,0.3,0.3,-1.5271389856544024,7.644221491400781e-5,0.00011672896352443729
6,5.0,3,0.3,0.3,-1.527022279925677,1.5215756595489587e-8,2.323479897370362e-8
6,5.0,5,0.3,0.3,-1.5270222566948224,2.5830667134059586e-12,3.944400361888256e-12
6,5.0,7,0.3,0.3,-1.5270222566908815,2.3265631284899423e-15,3.552713678800501e-15
6,5.0,9,0.3,0.3,-1.5270222566908802,1.454101955306214e-15,2.220446049250313e-15
6,5.0,11,0.3,0.3,-1.5270222566908815,2.3265631284899423e-15,3.552713678800501e-15
6,5.0,13,0.3,0.3,-1.527022256690881,2.0357427374286997e-15,3.1086244689504383e-15
6,5.0,15,0.3,0.3,-1.5270222566908793,8.724611731837284e-16,1.3322676295501878e-15
6,5.0,1,0.6,0.6,-1.3988071810977165,0.0003640533291663794,0.0005090550879409683
6,5.0,3,0.6,0.6,-1.3982985253807385,2.8561217063666105e-7,3.993709629668274e-7
6,5.0,5,0.6,0.6,-1.3982981262806717,1.9373278797019838e-10,2.708961943653776e-10
6,5.0,7,0.6,0.6,-1.3982981260099558,1.2894261663185904e-13,1.8030021919912542e-13
6,5.0,9,0.6,0.6,-1.3982981260097866,7.939816295065212e-15,1.1102230246251565e-14
6,5.0,11,0.6,0.6,-1.3982981260097742,9.527779554078256e-16,1.3322676295501878e-15
6,5.0,13,0.6,0.6,-1.398298126009757,1.3338891375709557e-14,1.865174681370263e-14
6,5.0,15,0.6,0.6,-1.398298126009729,3.334722843927389e-14,4.6629367034256575e-14
6,5.0,1,1.0,1.0,-1.2276981083554723,0.0012814633556096505,0.0015712366554119228
6,5.0,3,1.0,1.0,-1.2261302395043363,2.7467013028027363e-6,3.3678042758999993e-6
6,5.0,5,1.0,1.0,-1.226126878068917,5.194288372801899e-9,6.3688565532515895e-9
6,5.0,7,1.0,1.0,-1.2261268717411489,3.351077846127538e-11,4.1088465962957343e-11
6,5.0,9,1.0,1.0,-1.2261268717292841,2.3834184877518968e-11,2.922373454339322e-11
6,5.0,11,1.0,1.0,-1.2261268717291247,2.3704159159939578e-11,2.9064306517057048e-11
6,5.0,13,1.0,1.0,-1.2261268717292308,2.3790722242116388e-11,2.917044383821121e-11
6,5.0,15,1.0,1.0,-1.2261268717290426,2.3637154263693932e-11,2.8982150013234786e-11
7,5.0,1,0.3,0.3,-1.6823889215181187,4.4309899045525884e-5,7.45497865612954e-5
7,5.0,3,0.3,0.3,-1.682463469105271,1.3072551866965386e-9,2.1994090992905058e-9
7,5.0,5,0.3,0.3,-1.6824634713044433,1.4068629297879066e-13,2.3669954885008337e-13
7,5.0,7,0.3,0.3,-1.6824634713046835,2.111614153527815e-15,3.552713678800501e-15
7,5.0,9,0.3,0.3,-1.6824634713046849,2.9034694611007457e-15,4.884981308350689e-15
7,5.0,11,0.3,0.3,-1.6824634713046849,2.9034694611007457e-15,4.884981308350689e-15
7,5.0,13,0.3,0.3,-1.6824634713046862,3.695324768673676e-15,6.217248937900877e-15
7,5.0,15,0.3,0.3,-1.6824634713046862,3.695324768673676e-15,6.217248937900877e-15
7,5.0,1,0.6,0.6,-1.591972009138872,0.00017629657741892595,0.00028070870454177665
7,5.0,3,0.6,0.6,-1.5922526937028842,1.5161242499262544e-8,2.4140529575333858e-8
7,5.0,5,0.6,0.6,-1.5922527178356067,4.903171601891321e-12,7.8070883091641e-12
7,5.0,7,0.6,0.6,-1.592252717843432,1.143515561305712e-14,1.8207657603852567e-14
7,5.0,9,0.6,0.6,-1.5922527178434356,1.3666405488775581e-14,2.1760371282653068e-14
7,5.0,11,0.6,0.6,-1.5922527178434205,4.183593516972117e-15,6.661338147750939e-15
7,5.0,13,0.6,0.6,-1.5922527178434245,6.693749627155387e-15,1.0658141036401503e-14
7,5.0,15,0.6,0.6,-1.5922527178434183,2.789062344648078e-15,4.440892098500626e-15
7,5.0,1,1.0,1.0,-1.4714161259665453,0.0004856330869401607,0.0007149155420682618
7,5.0,3,1.0,1.0,-1.472130969071737,4.920545417126634e-8,7.243687649705066e-8
7,5.0,5,1.0,1.0,-1.4721310415564912,3.2522717375812476e-11,4.78777018031451e-11
7,5.0,7,1.0,1.0,-1.4721310415127133,2.7849637496498575e-12,4.099831585335778e-12
7,5.0,9,1.0,1.0,-1.4721310415126099,2.714675994703105e-12,3.9963587994407135e-12
7,5.0,11,1.0,1.0,-1.4721310415127626,2.818448474109469e-12,4.149125487629135e-12
7,5.0,13,1.0,1.0,-1.4721310415129372,2.937002498547553e-12,4.32365254710021e-12
7,5.0,15,1.0,1.0,-1.4721310415127693,2.8229734368742815e-12,4.155786825776886e-12
8,5.0,1,0.3,0.3,-1.7644058517764116,0.00016081337332864875,0.00028378569347964344
8,5.0,3,0.3,0.3,-1.764689590213007,2.67791475510475e-8,4.725688418361074e-8
8,5.0,5,0.3,0.3,-1.764689637461942,4.504586351916938e-12,7.949196856316121e-12
8,5.0,7,0.3,0.3,-1.7646896374698833,4.529751638799155e-15,7.993605777301127e-15
8,5.0,9,0.3,0.3,-1.764689637469882,5.284710245265681e-15,9.325873406851315e-15
8,5.0,11,0.3,0.3,-1.7646896374698833,4.529751638799155e-15,7.993605777301127e-15
8,5.0,13,0.3,0.3,-1.7646896374698828,4.78140450762133e-15,8.43769498715119e-15
8,5.0,15,0.3,0.3,-1.7646896374698846,3.7747930323326295e-15,6.661338147750939e-15
8,5.0,1,0.6,0.6,-1.6741691548297997,0.0006583883052282396,0.0011029795813710663
8,5.0,3,0.6,0.6,-1.6752713996299882,4.3860407361433063e-7,7.347811825653139e-7
8,5.0,5,0.6,0.6,-1.675272133917348,2.9477166743105966e-10,4.938227604611711e-10
8,5.0,7,0.6,0.6,-1.6752721344108163,2.1153768523996226e-13,3.5438318946034997e-13
8,5.0,9,0.6,0.6,-1.6752721344111476,1.3784410567015085e-14,2.3092638912203256e-14
8,5.0,11,0.6,0.6,-1.6752721344111534,1.0338307925261313e-14,1.7319479184152442e-14
8,5.0,13,0.6,0.6,-1.675272134411145,1.5374919478593748e-14,2.5757174171303632e-14
8,5.0,15,0.6,0.6,-1.6752721344111463,1.4579665022804416e-14,2.4424906541753444e-14
8,5.0,1,1.0,1.0,-1.5538535589009883,0.0018924077114281564,0.0029460996790455773
8,5.0,3,1.0,1.0,-1.5567942057675208,3.502578178907918e-6,5.452812513073724e-6
8,5.0,5,1.0,1.0,-1.556799648358795,6.565545482998439e-9,1.0221238966323654e-8
8,5.0,7,1.0,1.0,-1.5567996585193504,3.897961945452329e-11,6.06834582583815e-11
8,5.0,9,1.0,1.0,-1.5567996585381803,2.6884404451696722e-11,4.1853631671529e-11
8,5.0,11,1.0,1.0,-1.556799658538345,2.677857381642754e-11,4.168887457467463e-11
8,5.0,13,1.0,1.0,-1.556799658538424,2.6727797932120492e-11,4.160982669532132e-11
8,5.0,15,1.0,1.0,-1.556799658537419,2.737333628148481e-11,4.261480057721201e-11
9,5.0,1,0.3,0.3,-1.2760332225605229,0.0001784975300663329,0.0002278094419323473
9,5.0,3,0.3,0.3,-1.2762609921954415,3.119033856489076e-8,3.980701368533346e-8
9,5.0,5,0.3,0.3,-1.2762610319957544,5.250385242048747e-12,6.700862087427595e-12
9,5.0,7,0.3,0.3,-1.27626103200246,3.827572248826047e-15,4.884981308350689e-15
9,5.0,9,0.3,0.3,-1.2762610320024588,2.783688908237125e-15,3.552713678800501e-15
9,5.0,11,0.3,0.3,-1.276261032002461,4.523494475885328e-15,5.773159728050814e-15
9,5.0,13,0.3,0.3,-1.2762610320024592,3.1316500217667655e-15,3.9968028886505635e-15
9,5.0,15,0.3,0.3,-1.2762610320024597,3.479611135296406e-15,4.440892098500626e-15
9,5.0,1,0.6,0.6,-1.1931628901820766,0.0007426849329039363,0.0008868027160540137
9,5.0,3,0.6,0.6,-1.1940490717052379,5.202404023676193e-7,6.211928926802557e-7
