H,s,Lz,γu,γd,M,energy,error_r
1.0,4.0,30.0,0.6,0.6,3,25.39919033630547,0.0042216973624420754
1.0,4.0,30.0,0.6,0.6,4,25.472895590966658,0.001332074015784521
1.0,4.0,30.0,0.6,0.6,5,25.49641503746093,0.00040999129586547937
1.0,4.0,30.0,0.6,0.6,6,25.503536524229556,0.00013079255319607601
1.0,4.0,30.0,0.6,0.6,7,25.50583176954381,4.080718543818749e-5
1.0,4.0,30.0,0.6,0.6,8,25.506539101311148,1.3076158686753374e-5
1.0,4.0,30.0,0.6,0.6,9,25.50676838358877,4.087119500350691e-6
1.0,4.0,30.0,0.6,0.6,10,25.50683967121172,1.2922796949024917e-6
1.0,4.0,30.0,0.6,0.6,11,25.506862954778892,3.794446520239197e-7
1.0,4.0,30.0,0.6,0.6,12,25.506870331779584,9.022845534762329e-8
1.0,4.0,30.0,0.6,0.6,13,25.506872870333705,9.295863340643698e-9
1.0,4.0,30.0,0.6,0.6,14,25.506873812834773,4.6246730699657186e-8
1.0,4.0,30.0,0.6,0.6,15,25.506874291865646,6.50271935389419e-8
1.0,4.0,30.0,0.6,0.6,16,25.50687463116582,7.832949760382566e-8
1.0,4.0,30.0,0.6,0.6,17,25.50687496016245,9.122784982463222e-8
1.0,4.0,30.0,0.6,0.6,18,25.50687530434397,1.0472152767933524e-7
1.0,4.0,30.0,0.6,0.6,19,25.50687569541846,1.2005364995666026e-7
1.0,4.0,30.0,0.6,0.6,20,25.506876126467482,1.369529784896227e-7
1.0,4.0,30.0,0.6,0.6,21,25.506876625565116,1.5652016108816973e-7
1.0,4.0,30.0,0.6,0.6,22,25.506877179859952,1.7825135658903848e-7
1.0,4.0,30.0,0.6,0.6,23,25.5068778273737,2.0363721070060105e-7
1.0,4.0,30.0,0.6,0.6,24,25.50687855063122,2.3199260855077734e-7
1.0,4.0,30.0,0.6,0.6,25,25.50687941053726,2.6570532787533116e-7
1.0,4.0,30.0,0.6,0.6,26,25.50688038060592,3.037369860794578e-7
1.0,4.0,30.0,0.6,0.6,27,25.506881597244607,3.514354516726252e-7
1.0,4.0,30.0,0.6,0.6,28,25.50688298371809,4.0579231077245106e-7
1.0,4.0,30.0,0.6,0.6,29,25.50688447374569,4.642090214918135e-7
1.0,4.0,30.0,0.6,0.6,30,25.506885639212122,5.099012727314774e-7
1.0,5.0,45.0,0.6,0.6,0,-0.8410824704885945,1.0329747391059223
1.0,5.0,45.0,0.6,0.6,1,24.290311529820773,0.047695423931346057
1.0,5.0,45.0,0.6,0.6,2,25.139802652541185,0.014391022606431637
1.0,5.0,45.0,0.6,0.6,3,25.39919017643033,0.004221703630366066
1.0,5.0,45.0,0.6,0.6,4,25.472895367693642,0.001332082769229888
1.0,5.0,45.0,0.6,0.6,5,25.49641474103062,0.00041000291745138176
1.0,5.0,45.0,0.6,0.6,6,25.50353614717116,0.00013080733581567018
1.0,5.0,45.0,0.6,0.6,7,25.505831299572705,4.082561071173418e-5
1.0,5.0,45.0,0.6,0.6,8,25.506538528954483,1.309859799844023e-5
