H,r,Lz,γu,γd,M,error_r
0.5,1.75,18.0,0.6,0.6,95,5.687359283289658e-5
0.5,1.75,18.0,0.6,0.6,100,5.687359283289592e-5
0.5,2.0,20.5,0.6,0.6,0,1.1250038594705973
0.5,2.0,20.5,0.6,0.6,5,0.008393316977068245
0.5,2.0,20.5,0.6,0.6,10,0.00011999827330853504
0.5,2.0,20.5,0.6,0.6,15,9.621068471691878e-6
0.5,2.0,20.5,0.6,0.6,20,1.1865734655459282e-5
0.5,2.0,20.5,0.6,0.6,25,1.1993727881949852e-5
0.5,2.0,20.5,0.6,0.6,30,1.2022699321963403e-5
0.5,2.0,20.5,0.6,0.6,35,1.2027878381625362e-5
0.5,2.0,20.5,0.6,0.6,40,1.2025924595298967e-5
0.5,2.0,20.5,0.6,0.6,45,1.2025533981096532e-5
0.5,2.0,20.5,0.6,0.6,50,1.2025533464835034e-5
0.5,2.0,20.5,0.6,0.6,55,1.2025533615977503e-5
0.5,2.0,20.5,0.6,0.6,60,1.2025533620978675e-5
0.5,2.0,20.5,0.6,0.6,65,1.2025533618491128e-5
0.5,2.0,20.5,0.6,0.6,70,1.2025533618973386e-5
0.5,2.0,20.5,0.6,0.6,75,1.2025533618700785e-5
0.5,2.0,20.5,0.6,0.6,80,1.202553361925527e-5
0.5,2.0,20.5,0.6,0.6,85,1.2025533619419023e-5
0.5,2.0,20.5,0.6,0.6,90,1.202553361870345e-5
0.5,2.0,20.5,0.6,0.6,95,1.2025533618292747e-5
0.5,2.0,20.5,0.6,0.6,100,1.2025533618272109e-5
0.5,2.25,23.0,0.6,0.6,0,1.125003886897461
0.5,2.25,23.0,0.6,0.6,5,0.008397604125696121
0.5,2.25,23.0,0.6,0.6,10,0.00012732924054179208
0.5,2.25,23.0,0.6,0.6,15,6.280359157573896e-7
0.5,2.25,23.0,0.6,0.6,20,2.455738011135779e-6
0.5,2.25,23.0,0.6,0.6,25,2.5122774536149043e-6
0.5,2.25,23.0,0.6,0.6,30,2.5200384960524334e-6
0.5,2.25,23.0,0.6,0.6,35,2.522248451744117e-6
0.5,2.25,23.0,0.6,0.6,40,2.5226445266762386e-6
0.5,2.25,23.0,0.6,0.6,45,2.5224903266917327e-6
0.5,2.25,23.0,0.6,0.6,50,2.522459668775864e-6
0.5,2.25,23.0,0.6,0.6,55,2.5224596207731713e-6
0.5,2.25,23.0,0.6,0.6,60,2.522459630767198e-6
0.5,2.25,23.0,0.6,0.6,65,2.5224596314353497e-6
0.5,2.25,23.0,0.6,0.6,70,2.5224596300063077e-6
0.5,2.25,23.0,0.6,0.6,75,2.5224596304926215e-6
0.5,2.25,23.0,0.6,0.6,80,2.522459629894352e-6
0.5,2.25,23.0,0.6,0.6,85,2.5224596312110008e-6
0.5,2.25,23.0,0.6,0.6,90,2.5224596305136246e-6
0.5,2.25,23.0,0.6,0.6,95,2.522459631196743e-6
0.5,2.25,23.0,0.6,0.6,100,2.5224596311947195e-6
0.5,2.5,25.5,0.6,0.6,0,1.1250038925954082
0.5,2.5,25.5,0.6,0.6,5,0.00839849200565027
0.5,2.5,25.5,0.6,0.6,10,0.0001288667307613996
0.5,2.5,25.5,0.6,0.6,15,1.6995226553058737e-6
0.5,2.5,25.5,0.6,0.6,20,4.836671818437928e-7
0.5,2.5,25.5,0.6,0.6,25,5.238871119007319e-7
0.5,2.5,25.5,0.6,0.6,30,5.261080022979006e-7
0.5,2.5,25.5,0.6,0.6,35,5.266743827367495e-7
0.5,2.5,25.5,0.6,0.6,40,5.268451201291097e-7
0.5,2.5,25.5,0.6,0.6,45,5.268757409596217e-7
0.5,2.5,25.5,0.6,0.6,50,5.268636326933008e-7
0.5,2.5,25.5,0.6,0.6,55,5.268612299118169e-7
0.5,2.5,25.5,0.6,0.6,60,5.268612288676363e-7
0.5,2.5,25.5,0.6,0.6,65,5.268612269978663e-7
0.5,2.5,25.5,0.6,0.6,70,5.268612269775599e-7
0.5,2.5,25.5,0.6,0.6,75,5.268612276433854e-7
0.5,2.5,25.5,0.6,0.6,80,5.268612272289823e-7
0.5,2.5,25.5,0.6,0.6,85,5.268612275340984e-7
0.5,2.5,25.5,0.6,0.6,90,5.268612276615101e-7
0.5,2.5,25.5,0.6,0.6,95,5.26861227228302e-7
0.5,2.5,25.5,0.6,0.6,100,5.268612265248668e-7
0.5,2.75,28.0,0.6,0.6,0,1.1250038937794966
0.5,2.75,28.0,0.6,0.6,5,0.008398676191418143
0.5,2.75,28.0,0.6,0.6,10,0.0001291869091993132
0.5,2.75,28.0,0.6,0.6,15,2.068521357464928e-6
0.5,2.75,28.0,0.6,0.6,20,7.207852061664912e-8
0.5,2.75,28.0,0.6,0.6,25,1.0864799080702029e-7
0.5,2.75,28.0,0.6,0.6,30,1.0960357632586096e-7
0.5,2.75,28.0,0.6,0.6,35,1.0973923811681974e-7
0.5,2.75,28.0,0.6,0.6,40,1.0978261212361838e-7
0.5,2.75,28.0,0.6,0.6,45,1.0979587342605208e-7
0.5,2.75,28.0,0.6,0.6,50,1.0979823850479146e-7
0.5,2.75,28.0,0.6,0.6,55,1.0979729101911233e-7
0.5,2.75,28.0,0.6,0.6,60,1.0979710768363954e-7
0.5,2.75,28.0,0.6,0.6,65,1.0979710532259489e-7
0.5,2.75,28.0,0.6,0.6,70,1.0979710571157548e-7
0.5,2.75,28.0,0.6,0.6,75,1.0979710548184892e-7
0.5,2.75,28.0,0.6,0.6,80,1.097971059530618e-7
0.5,2.75,28.0,0.6,0.6,85,1.0979710537422208e-7
0.5,2.75,28.0,0.6,0.6,90,1.0979710562690069e-7
0.5,2.75,28.0,0.6,0.6,95,1.0979710492172163e-7
0.5,2.75,28.0,0.6,0.6,100,1.097971049418014e-7
0.5,3.0,30.5,0.6,0.6,0,1.1250038940256015
0.5,3.0,30.5,0.6,0.6,5,0.008398714436901569
0.5,3.0,30.5,0.6,0.6,10,0.00012925349252027464
0.5,3.0,30.5,0.6,0.6,15,2.145858090113291e-6
0.5,3.0,30.5,0.6,0.6,20,1.533342851366805e-8
0.5,3.0,30.5,0.6,0.6,25,2.2122345992094865e-8
0.5,3.0,30.5,0.6,0.6,30,2.2802802062253284e-8
0.5,3.0,30.5,0.6,0.6,35,2.2840023905365693e-8
0.5,3.0,30.5,0.6,0.6,40,2.2849948427718203e-8
0.5,3.0,30.5,0.6,0.6,45,2.285330870504412e-8
0.5,3.0,30.5,0.6,0.6,50,2.285433979816125e-8
0.5,3.0,30.5,0.6,0.6,55,2.2854526010753705e-8
0.5,3.0,30.5,0.6,0.6,60,2.285445151843674e-8
0.5,3.0,30.5,0.6,0.6,65,2.2854438451505478e-8
0.5,3.0,30.5,0.6,0.6,70,2.2854438634591054e-8
0.5,3.0,30.5,0.6,0.6,75,2.2854438090613445e-8
0.5,3.0,30.5,0.6,0.6,80,2.285443794340172e-8
0.5,3.0,30.5,0.6,0.6,85,2.2854437386931027e-8
0.5,3.0,30.5,0.6,0.6,90,2.2854438504671784e-8
0.5,3.0,30.5,0.6,0.6,95,2.285443807194972e-8
0.5,3.0,30.5,0.6,0.6,100,2.285443808924219e-8
0.5,3.25,33.0,0.6,0.6,0,1.125003894076756
0.5,3.25,33.0,0.6,0.6,5,0.00839872238263811
0.5,3.25,33.0,0.6,0.6,10,0.00012926733494141433
0.5,3.25,33.0,0.6,0.6,15,2.161960070114121e-6
0.5,3.25,33.0,0.6,0.6,20,3.1940997109690525e-8
0.5,3.25,33.0,0.6,0.6,25,4.1132024148952615e-9
0.5,3.25,33.0,0.6,0.6,30,4.73501567208163e-9
0.5,3.25,33.0,0.6,0.6,35,4.750848647152801e-9
0.5,3.25,33.0,0.6,0.6,40,4.753122832342913e-9
0.5,3.25,33.0,0.6,0.6,45,4.753888881194796e-9
0.5,3.25,33.0,0.6,0.6,50,4.754146465531289e-9
0.5,3.25,33.0,0.6,0.6,55,4.754227590583874e-9
0.5,3.25,33.0,0.6,0.6,60,4.75424079864063e-9
0.5,3.25,33.0,0.6,0.6,65,4.754235277230187e-9
0.5,3.25,33.0,0.6,0.6,70,4.754232293810702e-9
0.5,3.25,33.0,0.6,0.6,75,4.754233108926152e-9
0.5,3.25,33.0,0.6,0.6,80,4.754232965090377e-9
0.5,3.25,33.0,0.6,0.6,85,4.754233109612804e-9
0.5,3.25,33.0,0.6,0.6,90,4.754232963030437e-9
0.5,3.25,33.0,0.6,0.6,95,4.754232963030437e-9
0.5,3.25,33.0,0.6,0.6,100,4.754232529463163e-9
0.5,3.5,35.5,0.6,0.6,0,1.1250038940873894
0.5,3.5,35.5,0.6,0.6,5,0.008398724033861413
0.5,3.5,35.5,0.6,0.6,10,0.0001292702125496378
0.5,3.5,35.5,0.6,0.6,15,2.1653087572710448e-6
0.5,3.5,35.5,0.6,0.6,20,3.561744186153693e-8
0.5,3.5,35.5,0.6,0.6,25,3.686129744917128e-10
0.5,3.5,35.5,0.6,0.6,30,9.765253352529857e-10
0.5,3.5,35.5,0.6,0.6,35,9.87791359461975e-10
0.5,3.5,35.5,0.6,0.6,40,9.884021540241872e-10
0.5,3.5,35.5,0.6,0.6,45,9.88572781969268e-10
0.5,3.5,35.5,0.6,0.6,50,9.886311116180688e-10
0.5,3.5,35.5,0.6,0.6,55,9.886502567064245e-10
0.5,3.5,35.5,0.6,0.6,60,9.88652974259763e-10
0.5,3.5,35.5,0.6,0.6,65,9.886547813269e-10
0.5,3.5,35.5,0.6,0.6,70,9.886544199952734e-10
0.5,3.5,35.5,0.6,0.6,75,9.886543816931146e-10
0.5,3.5,35.5,0.6,0.6,80,9.88654942645713e-10
0.5,3.5,35.5,0.6,0.6,85,9.886545276181674e-10
0.5,3.5,35.5,0.6,0.6,90,9.886545441808966e-10
0.5,3.5,35.5,0.6,0.6,95,9.886545289926975e-10
0.5,3.5,35.5,0.6,0.6,100,9.886545262437429e-10
0.5,3.75,38.0,0.6,0.6,0,1.1250038940896006
0.5,3.75,38.0,0.6,0.6,5,0.008398724377082833
0.5,3.75,38.0,0.6,0.6,10,0.0001292708107509954
0.5,3.75,38.0,0.6,0.6,15,2.1660049764174275e-6
0.5,3.75,38.0,0.6,0.6,20,3.638427588234358e-8
0.5,3.75,38.0,0.6,0.6,25,4.137088031329531e-10
0.5,3.75,38.0,0.6,0.6,30,1.9493094434472653e-10
0.5,3.75,38.0,0.6,0.6,35,2.052503204588103e-10
0.5,3.75,38.0,0.6,0.6,40,2.055123814123713e-10
0.5,3.75,38.0,0.6,0.6,45,2.0555804863931352e-10
0.5,3.75,38.0,0.6,0.6,50,2.055693301684901e-10
0.5,3.75,38.0,0.6,0.6,55,2.0557748996213422e-10
0.5,3.75,38.0,0.6,0.6,60,2.055757917893395e-10
0.5,3.75,38.0,0.6,0.6,65,2.0557629902942025e-10
0.5,3.75,38.0,0.6,0.6,70,2.0557696775168951e-10
0.5,3.75,38.0,0.6,0.6,75,2.0557691432966042e-10
0.5,3.75,38.0,0.6,0.6,80,2.0557691226237435e-10
0.5,3.75,38.0,0.6,0.6,85,2.055764964913147e-10
0.5,3.75,38.0,0.6,0.6,90,2.0557620804701626e-10
0.5,3.75,38.0,0.6,0.6,95,2.0557691226237435e-10
0.5,3.75,38.0,0.6,0.6,100,2.055757757256262e-10
0.5,4.0,40.5,0.6,0.6,0,1.1250038940900604
0.5,4.0,40.5,0.6,0.6,5,0.008398724448419001
0.5,4.0,40.5,0.6,0.6,10,0.0001292709350813543
0.5,4.0,40.5,0.6,0.6,15,2.166149711948114e-6
0.5,4.0,40.5,0.6,0.6,20,3.654374513315921e-8
0.5,4.0,40.5,0.6,0.6,25,5.752468824897149e-10
0.5,4.0,40.5,0.6,0.6,30,3.2415960092812357e-11
0.5,4.0,40.5,0.6,0.6,35,4.254499156682339e-11
0.5,4.0,40.5,0.6,0.6,40,4.2728022930667724e-11
0.5,4.0,40.5,0.6,0.6,45,4.273456629290134e-11
0.5,4.0,40.5,0.6,0.6,50,4.273910565540247e-11
0.5,4.0,40.5,0.6,0.6,55,4.2737982774509e-11
0.5,4.0,40.5,0.6,0.6,60,4.273628278492041e-11
0.5,4.0,40.5,0.6,0.6,65,4.273772526555974e-11
0.5,4.0,40.5,0.6,0.6,70,4.2737851722308243e-11
0.5,4.0,40.5,0.6,0.6,75,4.273814085338857e-11
0.5,4.0,40.5,0.6,0.6,80,4.27378496410005e-11
0.5,4.0,40.5,0.6,0.6,85,4.2737851722308243e-11
0.5,4.0,40.5,0.6,0.6,90,4.27378496410005e-11
0.5,4.0,40.5,0.6,0.6,95,4.2738571777100424e-11
0.5,4.0,40.5,0.6,0.6,100,4.2737868263860446e-11
0.5,4.25,43.0,0.6,0.6,0,1.1250038940901552
0.5,4.25,43.0,0.6,0.6,5,0.008398724463245156
0.5,4.25,43.0,0.6,0.6,10,0.00012927096094903932
0.5,4.25,43.0,0.6,0.6,15,2.1661798037442546e-6
0.5,4.25,43.0,0.6,0.6,20,3.6576894738613435e-8
0.5,4.25,43.0,0.6,0.6,25,6.088587786282997e-10
0.5,4.25,43.0,0.6,0.6,30,1.5157804652413453e-12
0.5,4.25,43.0,0.6,0.6,35,8.714334605916367e-12
0.5,4.25,43.0,0.6,0.6,40,8.880848353798405e-12
0.5,4.25,43.0,0.6,0.6,45,8.880697184299667e-12
0.5,4.25,43.0,0.6,0.6,50,8.884086290055254e-12
0.5,4.25,43.0,0.6,0.6,55,8.881993619112234e-12
0.5,4.25,43.0,0.6,0.6,60,8.888300404061512e-12
0.5,4.25,43.0,0.6,0.6,65,8.887563413901492e-12
0.5,4.25,43.0,0.6,0.6,70,8.888266138086073e-12
0.5,4.25,43.0,0.6,0.6,75,8.888051946100633e-12
0.5,4.25,43.0,0.6,0.6,80,8.888100220087688e-12
0.5,4.25,43.0,0.6,0.6,85,8.889263002606767e-12
0.5,4.25,43.0,0.6,0.6,90,8.889277449046422e-12
0.5,4.25,43.0,0.6,0.6,95,8.889260213494812e-12
0.5,4.25,43.0,0.6,0.6,100,8.88855118220919e-12
0.5,4.5,45.5,0.6,0.6,0,1.125003894090175
0.5,4.5,45.5,0.6,0.6,5,0.008398724466319986
0.5,4.5,45.5,0.6,0.6,10,0.00012927096633103186
0.5,4.5,45.5,0.6,0.6,15,2.1661860680324015e-6
0.5,4.5,45.5,0.6,0.6,20,3.65837840340173e-8
0.5,4.5,45.5,0.6,0.6,25,6.158390087021615e-10
0.5,4.5,45.5,0.6,0.6,30,8.39664978972721e-12
0.5,4.5,45.5,0.6,0.6,35,1.6829516724286438e-12
0.5,4.5,45.5,0.6,0.6,40,1.854155598095608e-12
0.5,4.5,45.5,0.6,0.6,45,1.8513106002583736e-12
0.5,4.5,45.5,0.6,0.6,50,1.8520178543887166e-12
0.5,4.5,45.5,0.6,0.6,55,1.8479783373469092e-12
0.5,4.5,45.5,0.6,0.6,60,1.8497640100046953e-12
0.5,4.5,45.5,0.6,0.6,65,1.8482348158631985e-12
0.5,4.5,45.5,0.6,0.6,70,1.8490292675353172e-12
0.5,4.5,45.5,0.6,0.6,75,1.8484522074541348e-12
0.5,4.5,45.5,0.6,0.6,80,1.848884998271255e-12
0.5,4.5,45.5,0.6,0.6,85,1.8481611368037263e-12
0.5,4.5,45.5,0.6,0.6,90,1.847728387858404e-12
0.5,4.5,45.5,0.6,0.6,95,1.848884998271255e-12
0.5,4.5,45.5,0.6,0.6,100,1.8481611368037263e-12
0.5,4.75,48.0,0.6,0.6,0,1.1250038940901799
0.5,4.75,48.0,0.6,0.6,5,0.008398724466953368
0.5,4.75,48.0,0.6,0.6,10,0.00012927096742691965
0.5,4.75,48.0,0.6,0.6,15,2.166187353541968e-6
0.5,4.75,48.0,0.6,0.6,20,3.658520967483528e-8
0.5,4.75,48.0,0.6,0.6,25,6.172920591676316e-10
0.5,4.75,48.0,0.6,0.6,30,9.852533648051737e-12
0.5,4.75,48.0,0.6,0.6,35,2.2036337178908039e-13
0.5,4.75,48.0,0.6,0.6,40,3.892471840041909e-13
0.5,4.75,48.0,0.6,0.6,45,3.883777732629246e-13
0.5,4.75,48.0,0.6,0.6,50,3.9174064649875846e-13
0.5,4.75,48.0,0.6,0.6,55,3.958217842555925e-13
0.5,4.75,48.0,0.6,0.6,60,3.9907759481663e-13
0.5,4.75,48.0,0.6,0.6,65,3.9985292080439274e-13
0.5,4.75,48.0,0.6,0.6,70,3.994147837486497e-13
0.5,4.75,48.0,0.6,0.6,75,3.9926330516660206e-13
0.5,4.75,48.0,0.6,0.6,80,3.993368227322502e-13
0.5,4.75,48.0,0.6,0.6,85,3.9925190682373455e-13
0.5,4.75,48.0,0.6,0.6,90,3.9929464893175053e-13
0.5,4.75,48.0,0.6,0.6,95,3.99335417733396e-13
0.5,4.75,48.0,0.6,0.6,100,3.9943177879079897e-13
0.5,5.0,50.5,0.6,0.6,0,1.1250038940901803
0.5,5.0,50.5,0.6,0.6,5,0.008398724467113141
0.5,5.0,50.5,0.6,0.6,10,0.00012927096765310441
0.5,5.0,50.5,0.6,0.6,15,2.1661876143225746e-6
0.5,5.0,50.5,0.6,0.6,20,3.658551340535165e-8
0.5,5.0,50.5,0.6,0.6,25,6.175921804865513e-10
0.5,5.0,50.5,0.6,0.6,30,1.0155773051456224e-11
0.5,5.0,50.5,0.6,0.6,35,1.0939660756825473e-13
0.5,5.0,50.5,0.6,0.6,40,8.478021388215551e-14
