H,M,γu,γd,error_r
1.0,11,0.6,0.6,3.1478001656942666e-6
1.0,13,0.6,0.6,3.25755233558837e-7
1.0,15,0.6,0.6,3.3573073139755485e-8
1.0,17,0.6,0.6,3.451821703573493e-9
1.0,19,0.6,0.6,3.543980273741779e-10
1.0,21,0.6,0.6,3.6356182296695544e-11
1.0,23,0.6,0.6,3.7287553098679e-12
1.0,25,0.6,0.6,3.822708966732235e-13
1.0,27,0.6,0.6,3.7658320465662914e-14
1.0,29,0.6,0.6,2.9520592133394216e-15
1.0,1,1.0,1.0,0.5170082712072103
1.0,3,1.0,1.0,0.1715498759642468
1.0,5,1.0,1.0,0.0530841079549826
1.0,7,1.0,1.0,0.015820362633573698
1.0,9,1.0,1.0,0.004621119980935153
1.0,11,1.0,1.0,0.0013350564532525866
1.0,13,1.0,1.0,0.00038330866141330933
1.0,15,1.0,1.0,0.0001096566881391441
1.0,17,1.0,1.0,3.130453032697097e-5
1.0,19,1.0,1.0,8.925661251921497e-6
1.0,21,1.0,1.0,2.5430498065670764e-6
1.0,23,1.0,1.0,7.24236492809135e-7
1.0,25,1.0,1.0,2.0620245557826991e-7
1.0,27,1.0,1.0,5.87003496502822e-8
1.0,29,1.0,1.0,1.6708904949945505e-8
0.5,1,0.3,0.3,0.0867192198072001
0.5,3,0.3,0.3,0.004043277065362035
0.5,5,0.3,0.3,0.00017838487399799907
0.5,7,0.3,0.3,8.139460827419667e-6
0.5,9,0.3,0.3,3.8438608236704615e-7
0.5,11,0.3,0.3,1.8533320746925605e-8
0.5,13,0.3,0.3,9.021317286297703e-10
0.5,15,0.3,0.3,4.433006215844903e-11
0.5,17,0.3,0.3,2.2201578890732496e-12
0.5,19,0.3,0.3,1.093842427618254e-13
0.5,21,0.3,0.3,5.528847377914484e-15
0.5,23,0.3,0.3,9.642857082647173e-16
0.5,25,0.3,0.3,7.307760998885204e-16
0.5,27,0.3,0.3,6.780416331441601e-16
0.5,29,0.3,0.3,1.2826520541777465e-15
0.5,1,0.6,0.6,0.25765721577859524
0.5,3,0.6,0.6,0.047267333666069056
0.5,5,0.6,0.6,0.008398724467133108
0.5,7,0.6,0.6,0.0015468262934736124
0.5,9,0.6,0.6,0.00029401565920776624
0.5,11,0.6,0.6,5.688911241786547e-5
0.5,13,0.6,0.6,1.1091083934676407e-5
0.5,15,0.6,0.6,2.1661876833143856e-6
0.5,17,0.6,0.6,4.2266799189473036e-7
0.5,19,0.6,0.6,8.230324793558569e-8
0.5,21,0.6,0.6,1.619536699045196e-8
0.5,23,0.6,0.6,3.16961783055788e-9
0.5,25,0.6,0.6,6.176827952237037e-10
0.5,27,0.6,0.6,1.19974204881147e-10
0.5,29,0.6,0.6,2.3244671838481373e-11
0.5,1,1.0,1.0,0.5894396661956294
0.5,3,1.0,1.0,0.2972907362783459
0.5,5,1.0,1.0,0.15113174836659482
0.5,7,1.0,1.0,0.07939398175610156
0.5,9,1.0,1.0,0.04412751627320727
0.5,11,1.0,1.0,0.02539674266803019
0.5,13,1.0,1.0,0.014354164293626709
0.5,15,1.0,1.0,0.008003674580832176
0.5,17,1.0,1.0,0.00441738424420651
0.5,19,1.0,1.0,0.002427829575543225
0.5,21,1.0,1.0,0.0013328144957783258
0.5,23,1.0,1.0,0.0007265657283302332
0.5,25,1.0,1.0,0.00039401714461506773
0.5,27,1.0,1.0,0.00021284209405141052
0.5,29,1.0,1.0,0.00011463550086728492
0.1,1,0.3,0.3,0.12941386180436457
0.1,3,0.3,0.3,0.010370750414037318
0.1,5,0.3,0.3,0.0007978841300148198
0.1,7,0.3,0.3,6.017449858859484e-5
0.1,9,0.3,0.3,4.509384854299864e-6
0.1,11,0.3,0.3,3.3808233002025335e-7
0.1,13,0.3,0.3,2.5428706594893822e-8
0.1,15,0.3,0.3,1.9203141562905713e-9
0.1,17,0.3,0.3,1.4560480628758187e-10
0.1,19,0.3,0.3,1.1081533266492329e-11
0.1,21,0.3,0.3,8.455367321971907e-13
0.1,23,0.3,0.3,6.558494774656912e-14
0.1,25,0.3,0.3,1.3042103009081066e-14
0.1,27,0.3,0.3,1.1098565836227359e-14
0.1,29,0.3,0.3,1.1726689823212428e-14
0.1,1,0.6,0.6,0.4138828767244241
0.1,3,0.6,0.6,0.13070036212834182
0.1,5,0.6,0.6,0.0399479003168808
0.1,7,0.6,0.6,0.012028014282349687
0.1,9,0.6,0.6,0.0036072100097626477
0.1,11,0.6,0.6,0.0010833353116537854
